Country,Year,Demand (TWh),Population,GDP(USD),GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
Brunei Darussalam,2000,2.54,326424,6570999060,6570999060,66.26658255,2.459671565,,7304.934686,7701.639585,100,1.140385372,,71.164,326424,8.99628,28.44941694,7.152370717
Brunei Darussalam,2001,2.58,333345,6096155748,6096155748,62.7475897,2.296414467,0.995621604,6623.009195,7325.743599,100,5.312136487,,71.652,333345,12.9178,41.96767112,7.144199984
Brunei Darussalam,2002,2.71,340099,6333082879,6333082879,63.08118111,2.857530165,3.626542713,6343.405891,7518.399054,100,5.331358756,99.9999073,72.046,340099,15.3299,44.21967231,7.163598698
Brunei Darussalam,2003,3.2,346637,7167725265,7167725265,66.48449806,2.496517805,1.727478476,7226.392451,8715.168894,100,5.327483547,100,72.421,346637,19.595,50.09673912,7.18894519
Brunei Darussalam,2004,3.26,352911,8619178799,8619178799,70.19104535,2.114137439,1.313418245,6507.901426,8755.748617,100,5.330882353,100,72.794,352911,29.7156,56.16529944,7.198617793
Brunei Darussalam,2005,3.26,358916,10547202612,10547202612,73.15300533,1.672249997,1.659857338,6179.468176,8609.256762,100,5.330882353,100,73.163,358916,36.4664,63.5094637,7.17099484
Brunei Darussalam,2006,3.3,364663,12644616446,12644616446,74.92626122,1.226915052,0.694676099,8642.283423,8561.329227,100,5.336567617,100,73.529,364663,42.1863,80.84590459,7.044498108
Brunei Darussalam,2007,3.39,370873,13432029496,13432029496,73.39510643,1.104460839,1.918069921,8701.728085,8709.180771,100,4.860088365,100,73.892,370873,44.68,96.67060948,6.820393116
Brunei Darussalam,2008,3.42,377793,15926456492,15926456492,76.43208179,0.902506028,1.395065811,9377.278033,8626.417112,100,4.791118902,,74.252,377793,46,103.7155978,6.571323808
Brunei Darussalam,2009,3.62,384952,11912904529,11912904529,67.29548108,1.222361333,2.733059994,7904.377689,8816.683638,100,6.035437431,99.99993427,74.608,384952,49,105.7828245,6.369934127
Brunei Darussalam,2010,3.79,392332,13707121031,13707121031,68.65335068,1.249452719,,8259.163158,8727.302387,100,9.70464135,,74.961,392332,53,109.8603214,6.288868017
Brunei Darussalam,2011,3.73,399389,18524791071,18524791071,73.67241439,1.220715855,,9697.024705,8658.225439,100,7.167785235,99.99563633,75.31,399389,56,110.3746893,7.225343252
Brunei Darussalam,2012,3.93,405557,19048443340,19048443340,72.6556143,1.458303967,,9443.915405,9091.200497,100,6.183206107,99.9955353,75.656,405557,60.2731,115.5191155,7.641740714
Brunei Darussalam,2013,4.4,411202,18094148099,18094148099,70.02244393,1.145192419,,7398.20818,9710.555883,100,9.291231259,99.99437899,75.997,411202,64.5,113.8721697,7.810452268
Brunei Darussalam,2014,4.5,416750,17097797372,17097797372,67.84963064,1.586758563,3.356609014,8527.805639,10118.77624,100,6.413670661,99.99518847,76.332,416750,68.77,108.4957375,8.038402569
Brunei Darussalam,2015,4.2,422212,12930296852,12930296852,61.36277769,1.617832473,1.324711797,,,100,,,76.663,422212,71.2,109.9533264,7.76801291
Brunei Darussalam,2016,4.27,427564,11400266055,11400266055,57.28936408,1.809332509,-1.320590472,,,100,,,76.99,427564,90,122.8780218,7.708093727
Brunei Darussalam,2017,4.16,432772,12128168047,12128168047,59.72058921,1.762866167,3.858188215,,,100,,,77.312,432772,94.8667,126.6006005,7.230648954
Brunei Darussalam,2018,4.3,437810,13566908401,13566908401,63.24481837,2.134321499,3.804865525,,,100,,,77.629,437810,95,130.3207192,7.494855877
Brunei Darussalam,2019,4.93,442680,13469235348,13469235348,62.5153214,2.327822565,2.771180083,,,100,,,77.942,442680,95,131.2182683,7.945858113
Brunei Darussalam,2020,5.74,447404,12005799664,12005799664,59.13363013,6.832098945,4.710575649,,,100,,,78.25,447404,95.0503,121.4758051,7.597265034
Brunei Darussalam,2021,5.7,451721,14006496614,14006496614,62.70156408,9.678450683,1.461817223,,,100,,,78.554,451721,95.6225,135.501254,
Brunei Darussalam,2022,5.6,455370,16681536443,16681536443,67.92558548,11.62580722,-1.752933709,,,100,,,78.854,455370,98.9704,117.7551548,
Brunei Darussalam,2023,5.59,458949,15128292981,,,,,,,,,,,,,,
Cambodia,2000,0.33,12462336,3694168979,3694168979,21.64559865,15.82616625,3.202575924,273.8144759,31.93622769,16.6,11.16071429,20.33628847,18.586,12462336,0.0470226,1.077223474,29.79872148
Cambodia,2001,0.28,12658484,4145665970,4145665970,23.26462579,17.2541894,3.533376691,270.9766825,35.78627583,9.5,11.00196464,21.64185631,18.703,12658484,0.0769561,1.811108143,29.90572447
