Year,GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),"Population, total",Urban population (% of total),Population growth (annual %),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Total greenhouse gas emissions (per capita),Demand (TWh),JanEraMean,FebEraMean,MarEraMean,AprEraMean,MayEraMean,JunEraMean,JulEraMean,AugEraMean,SepEraMean,OctEraMean,NovEraMean,DecEraMean,Country
2000,"$6,570,000,000.00 ",19390,66.26658,2.45967,,326424,71.164,2.17185,7304.93469,7701.63959,100,,8.99628,28.44942,7.15237,18.60954,26.11695,2.54,,,,,,,,,,,,,Brunei
2001,"$6,100,000,000.00 ",19270,62.74759,2.29641,0.99562,333345,71.652,2.09808,6623.00919,7325.7436,100,,12.9178,41.96767,7.1442,17.58418,26.30968,2.58,,,,,,,,,,,,,Brunei
2002,"$6,330,000,000.00 ",18960,63.08118,2.85753,3.62654,340099,72.046,2.00588,6343.40589,7518.39905,100,99.99991,15.3299,44.21967,7.1636,16.34201,23.34114,2.71,,,,,,,,,,,,,Brunei
2003,"$7,170,000,000.00 ",19840,66.4845,2.49652,1.72748,346637,72.421,1.90414,7226.39245,8715.16889,100,100,19.595,50.09674,7.18895,18.61486,25.83135,3.2,,,,,,,,,,,,,Brunei
2004,"$8,620,000,000.00 ",22190,70.19105,2.11414,1.31342,352911,72.794,1.79378,6507.90143,8755.74862,100,100,29.7156,56.1653,7.19862,17.76312,23.95108,3.26,,,,,,,,,,,,,Brunei
2005,"$10,500,000,000.00 ",25670,73.15301,1.67225,1.65986,358916,73.163,1.68725,6179.46818,8609.25676,100,100,36.4664,63.50946,7.17099,16.7418,22.66519,3.26,,,,,,,,,,,,,Brunei
2006,"$12,600,000,000.00 ",30720,74.92626,1.22692,0.69468,364663,73.529,1.58853,8642.28342,8561.32923,100,100,42.1863,80.8459,7.0445,23.62537,31.17371,3.3,,,,,,,,,,,,,Brunei
2007,"$13,400,000,000.00 ",33470,73.39511,1.10446,1.91807,370873,73.892,1.6886,8701.72808,8709.18077,100,100,44.68,96.67061,6.82039,22.06739,29.26608,3.39,,,,,,,,,,,,,Brunei
2008,"$15,900,000,000.00 ",36700,76.43208,0.90251,1.39507,377793,74.252,1.84867,9377.27803,8626.41711,100,,46,103.7156,6.57132,23.57799,34.29338,3.42,,,,,,,,,,,,,Brunei
2009,"$11,900,000,000.00 ",35470,67.29548,1.22236,2.73306,384952,74.608,1.87722,7904.37769,8816.68364,100,99.99993,49,105.78282,6.36993,20.83584,28.74852,3.62,,,,,,,,,,,,,Brunei
2010,"$13,700,000,000.00 ",35370,68.65335,1.24945,,392332,74.961,1.89898,8259.16316,8727.30239,100,,53,109.86032,6.28887,18.80881,25.55616,3.79,,,,,,,,,,,,,Brunei
2011,"$18,500,000,000.00 ",36520,73.67241,1.22072,,399389,75.31,1.78275,9697.02471,8658.22544,100,99.99564,56,110.37469,7.22534,19.68282,26.85427,3.73,,,,,,,,,,,,,Brunei
2012,"$19,000,000,000.00 ",41690,72.65561,1.4583,,405557,75.656,1.53256,9443.91541,9091.2005,100,99.99554,60.2731,115.51912,7.64174,18.79465,25.61785,3.93,,,,,,,,,,,,,Brunei
2013,"$18,100,000,000.00 ",44580,70.02244,1.14519,,411202,75.997,1.38231,7398.20818,9710.55588,100,99.99438,64.5,113.87217,7.81045,18.94203,25.11126,4.4,,,,,,,,,,,,,Brunei
2014,"$17,100,000,000.00 ",42370,67.84963,1.58676,3.35661,416750,76.332,1.34019,8527.80564,10118.77624,100,99.99519,68.77,108.49574,8.0384,19.45195,25.2763,4.5,,,,,,,,,,,,,Brunei
2015,"$12,900,000,000.00 ",38180,61.36278,1.61783,1.32471,422212,76.663,1.3021,,,100,,71.2,109.95333,7.76801,17.44408,23.2658,4.2,,,,,,,,,,,,,Brunei
2016,"$11,400,000,000.00 ",32570,57.28936,1.80933,-1.32059,427564,76.99,1.25964,,,100,,90,122.87802,7.70809,18.47489,23.93115,4.27,,,,,,,,,,,,,Brunei
2017,"$12,100,000,000.00 ",29230,59.72059,1.76287,3.85819,432772,77.312,1.2107,,,100,,94.8667,126.6006,7.23065,18.18833,23.63716,4.16,,,,,,,,,,,,,Brunei
2018,"$13,600,000,000.00 ",28790,63.24482,2.13432,3.80487,437810,77.629,1.1574,,,100,,95,130.32072,7.49486,18.34152,23.88685,4.3,,,,,,,,,,,,,Brunei
2019,"$13,500,000,000.00 ",31550,62.51532,2.32782,2.77118,442680,77.942,1.10621,,,100,,95,131.21827,7.94586,17.17561,22.87589,4.93,,,,,,,,,,,,,Brunei
2020,"$12,000,000,000.00 ",30810,59.13363,6.8321,4.71058,447404,78.25,1.06148,,,100,,95.0503,121.47581,7.59727,22.13592,28.10435,5.74,,,,,,,,,,,,,Brunei
2021,"$14,000,000,000.00 ",29890,62.70156,9.67845,1.46182,451721,78.554,0.96027,,,100,,95.6225,135.50125,,21.57571,27.3007,5.7,,,,,,,,,,,,,Brunei
2022,"$16,700,000,000.00 ",30970,67.92559,11.62581,-1.75293,455370,78.854,0.80455,,,100,,98.9704,117.75515,,20.74906,26.10471,5.6,,,,,,,,,,,,,Brunei
2023,"$15,100,000,000.00 ",34480,61.80077,10.35635,-0.33707,458949,79.149,0.78288,,,,,,,,21.17033,26.49074,5.59,,,,,,,,,,,,,Brunei
2000,"$3,690,000,000.00 ",290,21.6456,15.82617,3.20258,1.25E+07,18.586,1.59017,273.81448,31.93623,16.6,20.33629,0.04702,1.07722,29.79872,0.16056,1.82301,0.33,,,,,,,,,,,,,Cambodia
2001,"$4,150,000,000.00 ",310,23.26463,17.25419,3.53338,1.27E+07,18.703,1.56167,270.97668,35.78628,9.5,21.64186,0.07696,1.81111,29.90572,0.17279,1.85091,0.28,,,,,,,,,,,,,Cambodia
2002,"$4,500,000,000.00 ",320,25.37931,18.91549,2.90935,1.29E+07,18.82,1.54239,310.72525,49.47398,13.1,18.62145,0.22698,3.02505,30.01916,0.17483,1.83715,0.58,,,,,,,,,,,,,Cambodia
