country_code,country_name,year,"Population, total"
BRN,Brunei Darussalam,2000,326424.0
BRN,Brunei Darussalam,2001,333345.0
BRN,Brunei Darussalam,2002,340099.0
BRN,Brunei Darussalam,2003,346637.0
BRN,Brunei Darussalam,2004,352911.0
BRN,Brunei Darussalam,2005,358916.0
BRN,Brunei Darussalam,2006,364663.0
BRN,Brunei Darussalam,2007,370873.0
BRN,Brunei Darussalam,2008,377793.0
BRN,Brunei Darussalam,2009,384952.0
BRN,Brunei Darussalam,2010,392332.0
BRN,Brunei Darussalam,2011,399389.0
BRN,Brunei Darussalam,2012,405557.0
BRN,Brunei Darussalam,2013,411202.0
BRN,Brunei Darussalam,2014,416750.0
BRN,Brunei Darussalam,2015,422212.0
BRN,Brunei Darussalam,2016,427564.0
BRN,Brunei Darussalam,2017,432772.0
BRN,Brunei Darussalam,2018,437810.0
BRN,Brunei Darussalam,2019,442680.0
BRN,Brunei Darussalam,2020,447404.0
BRN,Brunei Darussalam,2021,451721.0
BRN,Brunei Darussalam,2022,455370.0
BRN,Brunei Darussalam,2023,458949.0
,,2024,458949.0
,,2025,458949.0
,,2026,458949.0
,,2027,458949.0
,,2028,458949.0
,,2029,458949.0
,,2030,458949.0
,,2031,458949.0
,,2032,458949.0
,,2033,458949.0
,,2034,458949.0
,,2035,458949.0
IDN,Indonesia,2000,216077790.0
IDN,Indonesia,2001,219097902.0
IDN,Indonesia,2002,222088495.0
IDN,Indonesia,2003,225048008.0
IDN,Indonesia,2004,227926649.0
IDN,Indonesia,2005,230871650.0
IDN,Indonesia,2006,233951652.0
IDN,Indonesia,2007,237062337.0
IDN,Indonesia,2008,240157903.0
IDN,Indonesia,2009,243220028.0
IDN,Indonesia,2010,246305322.0
IDN,Indonesia,2011,249470032.0
IDN,Indonesia,2012,252698525.0
IDN,Indonesia,2013,255852467.0
IDN,Indonesia,2014,258877399.0
IDN,Indonesia,2015,261799249.0
IDN,Indonesia,2016,264627418.0
IDN,Indonesia,2017,267346658.0
IDN,Indonesia,2018,269951846.0
IDN,Indonesia,2019,272489381.0
IDN,Indonesia,2020,274814866.0
IDN,Indonesia,2021,276758053.0
IDN,Indonesia,2022,278830529.0
IDN,Indonesia,2023,281190067.0
,,2024,281190067.0
,,2025,281190067.0
,,2026,281190067.0
,,2027,281190067.0
,,2028,281190067.0
,,2029,281190067.0
,,2030,281190067.0
,,2031,281190067.0
,,2032,281190067.0
,,2033,281190067.0
,,2034,281190067.0
,,2035,281190067.0
KHM,Cambodia,2000,12462336.0
KHM,Cambodia,2001,12658484.0
KHM,Cambodia,2002,12855241.0
KHM,Cambodia,2003,13050968.0
KHM,Cambodia,2004,13244731.0
KHM,Cambodia,2005,13439202.0
KHM,Cambodia,2006,13639028.0
KHM,Cambodia,2007,13841770.0
KHM,Cambodia,2008,14053479.0
KHM,Cambodia,2009,14276810.0
KHM,Cambodia,2010,14500726.0
KHM,Cambodia,2011,14722584.0
KHM,Cambodia,2012,14945085.0
KHM,Cambodia,2013,15170208.0
KHM,Cambodia,2014,15396772.0
KHM,Cambodia,2015,15623251.0
KHM,Cambodia,2016,15852803.0
KHM,Cambodia,2017,16073372.0
KHM,Cambodia,2018,16274522.0
KHM,Cambodia,2019,16481304.0
KHM,Cambodia,2020,16725474.0
KHM,Cambodia,2021,16974305.0
KHM,Cambodia,2022,17201724.0
KHM,Cambodia,2023,17423880.0
,,2024,17423880.0
,,2025,17423880.0
,,2026,17423880.0
,,2027,17423880.0
,,2028,17423880.0
,,2029,17423880.0
,,2030,17423880.0
,,2031,17423880.0
,,2032,17423880.0
,,2033,17423880.0
,,2034,17423880.0
,,2035,17423880.0
LAO,Lao PDR,2000,5431212.0
LAO,Lao PDR,2001,5521482.0
LAO,Lao PDR,2002,5610889.0
LAO,Lao PDR,2003,5697945.0
LAO,Lao PDR,2004,5781626.0
LAO,Lao PDR,2005,5869523.0
LAO,Lao PDR,2006,5963200.0
LAO,Lao PDR,2007,6056236.0
LAO,Lao PDR,2008,6148969.0
LAO,Lao PDR,2009,6241642.0
LAO,Lao PDR,2010,6334194.0
LAO,Lao PDR,2011,6426590.0
LAO,Lao PDR,2012,6518978.0
LAO,Lao PDR,2013,6611385.0
LAO,Lao PDR,2014,6703172.0
LAO,Lao PDR,2015,6801645.0
LAO,Lao PDR,2016,6908802.0
LAO,Lao PDR,2017,7018147.0
LAO,Lao PDR,2018,7128045.0
LAO,Lao PDR,2019,7237636.0
LAO,Lao PDR,2020,7346533.0
LAO,Lao PDR,2021,7453194.0
LAO,Lao PDR,2022,7559007.0
LAO,Lao PDR,2023,7664993.0
,,2024,7664993.0
,,2025,7664993.0
,,2026,7664993.0
,,2027,7664993.0
,,2028,7664993.0
,,2029,7664993.0
,,2030,7664993.0
,,2031,7664993.0
,,2032,7664993.0
,,2033,7664993.0
,,2034,7664993.0
,,2035,7664993.0
MMR,Myanmar,2000,45290841.0
MMR,Myanmar,2001,45771139.0
MMR,Myanmar,2002,46232653.0
MMR,Myanmar,2003,46667192.0
MMR,Myanmar,2004,47068772.0
MMR,Myanmar,2005,47438365.0
MMR,Myanmar,2006,47785135.0
MMR,Myanmar,2007,48125043.0
MMR,Myanmar,2008,48390793.0
MMR,Myanmar,2009,48660459.0
MMR,Myanmar,2010,49024382.0
MMR,Myanmar,2011,49419820.0
MMR,Myanmar,2012,49837446.0
MMR,Myanmar,2013,50262658.0
MMR,Myanmar,2014,50681634.0
MMR,Myanmar,2015,51089056.0
MMR,Myanmar,2016,51495696.0
MMR,Myanmar,2017,51894938.0
MMR,Myanmar,2018,52272247.0
MMR,Myanmar,2019,52640713.0
MMR,Myanmar,2020,53016522.0
MMR,Myanmar,2021,53387102.0
MMR,Myanmar,2022,53756787.0
MMR,Myanmar,2023,54133798.0
,,2024,54133798.0
,,2025,54133798.0
,,2026,54133798.0
,,2027,54133798.0
,,2028,54133798.0
,,2029,54133798.0
,,2030,54133798.0
,,2031,54133798.0
,,2032,54133798.0
,,2033,54133798.0
,,2034,54133798.0
,,2035,54133798.0
MYS,Malaysia,2000,22967816.0
MYS,Malaysia,2001,23526538.0
MYS,Malaysia,2002,24102477.0
MYS,Malaysia,2003,24679602.0
MYS,Malaysia,2004,25256772.0
MYS,Malaysia,2005,25836071.0
MYS,Malaysia,2006,26417909.0
MYS,Malaysia,2007,26998389.0
MYS,Malaysia,2008,27570059.0
MYS,Malaysia,2009,28124778.0
MYS,Malaysia,2010,28655776.0
MYS,Malaysia,2011,29162039.0
MYS,Malaysia,2012,29662831.0
MYS,Malaysia,2013,30174265.0
MYS,Malaysia,2014,30696137.0
MYS,Malaysia,2015,31232798.0
MYS,Malaysia,2016,31789685.0
MYS,Malaysia,2017,32355644.0
MYS,Malaysia,2018,32910967.0
MYS,Malaysia,2019,33440596.0
MYS,Malaysia,2020,33889558.0
MYS,Malaysia,2021,34282399.0
MYS,Malaysia,2022,34695493.0
MYS,Malaysia,2023,35126298.0
,,2024,35126298.0
,,2025,35126298.0
,,2026,35126298.0
,,2027,35126298.0
,,2028,35126298.0
,,2029,35126298.0
,,2030,35126298.0
,,2031,35126298.0
,,2032,35126298.0
,,2033,35126298.0
,,2034,35126298.0
,,2035,35126298.0
PHL,Philippines,2000,79625397.0
PHL,Philippines,2001,81401488.0
PHL,Philippines,2002,83068889.0
PHL,Philippines,2003,84731835.0
PHL,Philippines,2004,86394504.0
PHL,Philippines,2005,88015962.0
PHL,Philippines,2006,89508986.0
PHL,Philippines,2007,91075184.0
PHL,Philippines,2008,92699095.0
