country_code,country_name,year,"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
BRN,Brunei Darussalam,2000,326424.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2001,333345.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2002,340099.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2003,346637.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2004,352911.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2005,358916.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2006,364663.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2007,370873.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2008,377793.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2009,384952.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2010,392332.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2011,399389.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2012,405557.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2013,411202.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2014,416750.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2015,422212.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2016,427564.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2017,432772.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2018,437810.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2019,442680.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2020,447404.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2021,451721.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2022,455370.0,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,2023,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2024,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2025,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2026,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2027,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2028,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2029,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2030,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2031,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2032,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2033,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2034,458949.0,,,,,,,,,,,,,,,,,,,,,,
,,2035,458949.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2000,216077790.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2001,219097902.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2002,222088495.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2003,225048008.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2004,227926649.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2005,230871650.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2006,233951652.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2007,237062337.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2008,240157903.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2009,243220028.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2010,246305322.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2011,249470032.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2012,252698525.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2013,255852467.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2014,258877399.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2015,261799249.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2016,264627418.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2017,267346658.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2018,269951846.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2019,272489381.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2020,274814866.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2021,276758053.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2022,278830529.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,2023,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2024,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2025,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2026,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2027,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2028,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2029,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2030,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2031,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2032,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2033,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2034,281190067.0,,,,,,,,,,,,,,,,,,,,,,
,,2035,281190067.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2000,12462336.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2001,12658484.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2002,12855241.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2003,13050968.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2004,13244731.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2005,13439202.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2006,13639028.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2007,13841770.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2008,14053479.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2009,14276810.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2010,14500726.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2011,14722584.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2012,14945085.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2013,15170208.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2014,15396772.0,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2015,15623251.0,,,,,,,,,,,,,,,,,,,,,,
