country_code,country_name,year,Energy productivity (GDP per unit energy)
BRN,Brunei Darussalam,2000,4.34
BRN,Brunei Darussalam,2001,3.91
BRN,Brunei Darussalam,2002,3.68
BRN,Brunei Darussalam,2003,4.15
BRN,Brunei Darussalam,2004,3.79
BRN,Brunei Darussalam,2005,3.65
BRN,Brunei Darussalam,2006,4.96
BRN,Brunei Darussalam,2007,5.07
BRN,Brunei Darussalam,2008,5.68
BRN,Brunei Darussalam,2009,4.97
BRN,Brunei Darussalam,2010,5.15
BRN,Brunei Darussalam,2011,5.94
BRN,Brunei Darussalam,2012,5.82
BRN,Brunei Darussalam,2013,4.72
BRN,Brunei Darussalam,2014,5.66
BRN,Brunei Darussalam,2015,4.34
BRN,Brunei Darussalam,2016,4.91
BRN,Brunei Darussalam,2017,5.87
BRN,Brunei Darussalam,2018,5.88
BRN,Brunei Darussalam,2019,6.35
BRN,Brunei Darussalam,2020,6.31
BRN,Brunei Darussalam,2021,6.33
,,2022,6.33
,,2023,6.33
,,2024,6.33
,,2025,6.33
,,2026,6.33
,,2027,6.33
,,2028,6.33
,,2029,6.33
,,2030,6.33
,,2031,6.33
,,2032,6.33
,,2033,6.33
,,2034,6.33
,,2035,6.33
IDN,Indonesia,2000,5.5
IDN,Indonesia,2001,5.43
IDN,Indonesia,2002,5.38
IDN,Indonesia,2003,5.15
IDN,Indonesia,2004,5.22
IDN,Indonesia,2005,5.02
IDN,Indonesia,2006,4.86
IDN,Indonesia,2007,4.55
IDN,Indonesia,2008,4.31
IDN,Indonesia,2009,4.35
IDN,Indonesia,2010,4.26
IDN,Indonesia,2011,4.1
IDN,Indonesia,2012,3.84
IDN,Indonesia,2013,3.53
IDN,Indonesia,2014,3.48
IDN,Indonesia,2015,3.26
IDN,Indonesia,2016,3.18
IDN,Indonesia,2017,3.14
IDN,Indonesia,2018,3.24
IDN,Indonesia,2019,3.19
IDN,Indonesia,2020,3.11
IDN,Indonesia,2021,3.04
,,2022,3.04
,,2023,3.04
,,2024,3.04
,,2025,3.04
,,2026,3.04
,,2027,3.04
,,2028,3.04
,,2029,3.04
,,2030,3.04
,,2031,3.04
,,2032,3.04
,,2033,3.04
,,2034,3.04
,,2035,3.04
KHM,Cambodia,2000,7.94
KHM,Cambodia,2001,7.51
KHM,Cambodia,2002,7.05
KHM,Cambodia,2003,6.69
KHM,Cambodia,2004,6.23
KHM,Cambodia,2005,5.73
KHM,Cambodia,2006,5.31
KHM,Cambodia,2007,5.03
KHM,Cambodia,2008,4.76
KHM,Cambodia,2009,5.07
KHM,Cambodia,2010,5.05
KHM,Cambodia,2011,4.81
KHM,Cambodia,2012,4.68
KHM,Cambodia,2013,4.47
KHM,Cambodia,2014,4.5
KHM,Cambodia,2015,4.58
KHM,Cambodia,2016,4.74
KHM,Cambodia,2017,4.59
KHM,Cambodia,2018,4.58
KHM,Cambodia,2019,4.85
KHM,Cambodia,2020,5.09
KHM,Cambodia,2021,4.96
,,2022,4.96
,,2023,4.96
,,2024,4.96
,,2025,4.96
,,2026,4.96
,,2027,4.96
,,2028,4.96
,,2029,4.96
,,2030,4.96
,,2031,4.96
,,2032,4.96
,,2033,4.96
,,2034,4.96
,,2035,4.96
LAO,Lao PDR,2000,3.8
LAO,Lao PDR,2001,3.78
LAO,Lao PDR,2002,3.65
LAO,Lao PDR,2003,3.55
LAO,Lao PDR,2004,3.42
LAO,Lao PDR,2005,3.31
LAO,Lao PDR,2006,3.37
LAO,Lao PDR,2007,3.36
LAO,Lao PDR,2008,3.48
LAO,Lao PDR,2009,3.44
LAO,Lao PDR,2010,3.3
LAO,Lao PDR,2011,3.1
LAO,Lao PDR,2012,2.93
LAO,Lao PDR,2013,2.98
LAO,Lao PDR,2014,2.93
LAO,Lao PDR,2015,3.83
LAO,Lao PDR,2016,4.75
LAO,Lao PDR,2017,4.9
LAO,Lao PDR,2018,4.7
LAO,Lao PDR,2019,4.3
LAO,Lao PDR,2020,4.37
LAO,Lao PDR,2021,4.25
LAO,Lao PDR,2022,4.51
,,2023,4.51
,,2024,4.51
,,2025,4.51
,,2026,4.51
