country_code,country_name,year,Access to electricity (% of population)
BRN,Brunei Darussalam,2000,100.0
BRN,Brunei Darussalam,2001,100.0
BRN,Brunei Darussalam,2002,100.0
BRN,Brunei Darussalam,2003,100.0
BRN,Brunei Darussalam,2004,100.0
BRN,Brunei Darussalam,2005,100.0
BRN,Brunei Darussalam,2006,100.0
BRN,Brunei Darussalam,2007,100.0
BRN,Brunei Darussalam,2008,100.0
BRN,Brunei Darussalam,2009,100.0
BRN,Brunei Darussalam,2010,100.0
BRN,Brunei Darussalam,2011,100.0
BRN,Brunei Darussalam,2012,100.0
BRN,Brunei Darussalam,2013,100.0
BRN,Brunei Darussalam,2014,100.0
BRN,Brunei Darussalam,2015,100.0
BRN,Brunei Darussalam,2016,100.0
BRN,Brunei Darussalam,2017,100.0
BRN,Brunei Darussalam,2018,100.0
BRN,Brunei Darussalam,2019,100.0
BRN,Brunei Darussalam,2020,100.0
BRN,Brunei Darussalam,2021,100.0
BRN,Brunei Darussalam,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
IDN,Indonesia,2000,86.3
IDN,Indonesia,2001,86.3
IDN,Indonesia,2002,87.6
IDN,Indonesia,2003,87.9
IDN,Indonesia,2004,89.0
IDN,Indonesia,2005,84.8
IDN,Indonesia,2006,90.6
IDN,Indonesia,2007,91.1
IDN,Indonesia,2008,92.7
IDN,Indonesia,2009,93.6
IDN,Indonesia,2010,94.2
IDN,Indonesia,2011,94.8
IDN,Indonesia,2012,96.0
IDN,Indonesia,2013,96.5
IDN,Indonesia,2014,97.0
IDN,Indonesia,2015,97.5
IDN,Indonesia,2016,97.6
IDN,Indonesia,2017,98.1
IDN,Indonesia,2018,98.5
IDN,Indonesia,2019,98.9
IDN,Indonesia,2020,97.0
IDN,Indonesia,2021,99.2
IDN,Indonesia,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
KHM,Cambodia,2000,16.6
KHM,Cambodia,2001,9.5
KHM,Cambodia,2002,13.1
KHM,Cambodia,2003,19.3
KHM,Cambodia,2004,14.2
KHM,Cambodia,2005,20.5
KHM,Cambodia,2006,27.5
KHM,Cambodia,2007,20.2
KHM,Cambodia,2008,26.4
KHM,Cambodia,2009,25.6
KHM,Cambodia,2010,31.1
KHM,Cambodia,2011,37.4
KHM,Cambodia,2012,42.3
KHM,Cambodia,2013,50.9
KHM,Cambodia,2014,56.1
KHM,Cambodia,2015,62.7
KHM,Cambodia,2016,68.8
KHM,Cambodia,2017,89.1
KHM,Cambodia,2018,80.7
KHM,Cambodia,2019,84.0
KHM,Cambodia,2020,86.4
KHM,Cambodia,2021,82.5
KHM,Cambodia,2022,92.3
,,2023,92.3
,,2024,92.3
,,2025,92.3
,,2026,92.3
,,2027,92.3
,,2028,92.3
,,2029,92.3
,,2030,92.3
,,2031,92.3
,,2032,92.3
,,2033,92.3
,,2034,92.3
,,2035,92.3
LAO,Lao PDR,2000,42.6
LAO,Lao PDR,2001,45.3
LAO,Lao PDR,2002,46.3
LAO,Lao PDR,2003,48.0
LAO,Lao PDR,2004,53.5
LAO,Lao PDR,2005,57.2
LAO,Lao PDR,2006,57.0
LAO,Lao PDR,2007,55.0
LAO,Lao PDR,2008,66.0
