country_code,country_name,year,Electric power transmission and distribution losses (% of output)
BRN,Brunei Darussalam,2000,1.14038537160834
BRN,Brunei Darussalam,2001,5.31213648701047
BRN,Brunei Darussalam,2002,5.33135875601629
BRN,Brunei Darussalam,2003,5.32748354747728
BRN,Brunei Darussalam,2004,5.33088235294118
BRN,Brunei Darussalam,2005,5.33088235294118
BRN,Brunei Darussalam,2006,5.33656761673742
BRN,Brunei Darussalam,2007,4.860088365243
BRN,Brunei Darussalam,2008,4.79111890154835
BRN,Brunei Darussalam,2009,6.03543743078627
BRN,Brunei Darussalam,2010,9.70464135021097
BRN,Brunei Darussalam,2011,7.16778523489933
BRN,Brunei Darussalam,2012,6.18320610687023
BRN,Brunei Darussalam,2013,9.29123125851885
BRN,Brunei Darussalam,2014,6.41367066134043
,,2015,6.41367066134043
,,2016,6.41367066134043
,,2017,6.41367066134043
,,2018,6.41367066134043
,,2019,6.41367066134043
,,2020,6.41367066134043
,,2021,6.41367066134043
,,2022,6.41367066134043
,,2023,6.41367066134043
,,2024,6.41367066134043
,,2025,6.41367066134043
,,2026,6.41367066134043
,,2027,6.41367066134043
,,2028,6.41367066134043
,,2029,6.41367066134043
,,2030,6.41367066134043
,,2031,6.41367066134043
,,2032,6.41367066134043
,,2033,6.41367066134043
,,2034,6.41367066134043
,,2035,6.41367066134043
IDN,Indonesia,2000,11.5135279935709
IDN,Indonesia,2001,12.8627017204259
IDN,Indonesia,2002,16.1444135394624
IDN,Indonesia,2003,16.3692531024838
IDN,Indonesia,2004,11.8522340487504
IDN,Indonesia,2005,11.1637353072634
IDN,Indonesia,2006,11.0737044607431
IDN,Indonesia,2007,10.7202903954246
IDN,Indonesia,2008,10.108085664921
IDN,Indonesia,2009,9.59853036855601
IDN,Indonesia,2010,9.39825041972254
IDN,Indonesia,2011,9.08966998696958
IDN,Indonesia,2012,8.92216167574864
IDN,Indonesia,2013,9.58290898990834
IDN,Indonesia,2014,9.40116554617424
,,2015,9.40116554617424
,,2016,9.40116554617424
,,2017,9.40116554617424
,,2018,9.40116554617424
,,2019,9.40116554617424
,,2020,9.40116554617424
,,2021,9.40116554617424
,,2022,9.40116554617424
,,2023,9.40116554617424
,,2024,9.40116554617424
