country_code,country_name,year,Energy imports (% of energy use)
BRN,Brunei Darussalam,2000,-725.508428160801
BRN,Brunei Darussalam,2001,-799.196782964715
BRN,Brunei Darussalam,2002,-839.333573129704
BRN,Brunei Darussalam,2003,-746.201598045458
BRN,Brunei Darussalam,2004,-803.435958392657
BRN,Brunei Darussalam,2005,-849.55521188867
BRN,Brunei Darussalam,2006,-608.136737784708
BRN,Brunei Darussalam,2007,-542.866744173652
BRN,Brunei Darussalam,2008,-495.880028340207
BRN,Brunei Darussalam,2009,-522.428639880426
BRN,Brunei Darussalam,2010,-473.19072663497
BRN,Brunei Darussalam,2011,-382.704805332459
BRN,Brunei Darussalam,2012,-383.542312546638
BRN,Brunei Darussalam,2013,-458.372543437915
BRN,Brunei Darussalam,2014,-357.394379176148
,,2015,-357.394379176148
,,2016,-357.394379176148
,,2017,-357.394379176148
,,2018,-357.394379176148
,,2019,-357.394379176148
,,2020,-357.394379176148
,,2021,-357.394379176148
,,2022,-357.394379176148
,,2023,-357.394379176148
,,2024,-357.394379176148
,,2025,-357.394379176148
,,2026,-357.394379176148
,,2027,-357.394379176148
,,2028,-357.394379176148
,,2029,-357.394379176148
,,2030,-357.394379176148
,,2031,-357.394379176148
,,2032,-357.394379176148
,,2033,-357.394379176148
,,2034,-357.394379176148
,,2035,-357.394379176148
IDN,Indonesia,2000,-52.5666611423003
IDN,Indonesia,2001,-51.8184045011989
IDN,Indonesia,2002,-50.286293134744
IDN,Indonesia,2003,-53.9882909101057
IDN,Indonesia,2004,-50.1742911075702
IDN,Indonesia,2005,-55.914624816494
IDN,Indonesia,2006,-70.8317495454458
IDN,Indonesia,2007,-74.0946324572424
IDN,Indonesia,2008,-73.6338643639194
IDN,Indonesia,2009,-74.3997566461944
IDN,Indonesia,2010,-79.04613071007
IDN,Indonesia,2011,-106.708155531383
IDN,Indonesia,2012,-107.211073417706
IDN,Indonesia,2013,-112.283750758322
IDN,Indonesia,2014,-103.091329547663
,,2015,-103.091329547663
,,2016,-103.091329547663
,,2017,-103.091329547663
,,2018,-103.091329547663
,,2019,-103.091329547663
,,2020,-103.091329547663
,,2021,-103.091329547663
,,2022,-103.091329547663
,,2023,-103.091329547663
,,2024,-103.091329547663
,,2025,-103.091329547663
,,2026,-103.091329547663
,,2027,-103.091329547663
,,2028,-103.091329547663
,,2029,-103.091329547663
,,2030,-103.091329547663
,,2031,-103.091329547663
,,2032,-103.091329547663
,,2033,-103.091329547663
,,2034,-103.091329547663
,,2035,-103.091329547663
KHM,Cambodia,2000,20.3363177711196
KHM,Cambodia,2001,21.6418854663668
KHM,Cambodia,2002,18.6365425210192
KHM,Cambodia,2003,19.5742991056218
KHM,Cambodia,2004,24.4785075693447
KHM,Cambodia,2005,27.3621041767986
KHM,Cambodia,2006,29.6840714175948
KHM,Cambodia,2007,33.4295935049111
KHM,Cambodia,2008,34.6956787195102
KHM,Cambodia,2009,29.0926418606354
KHM,Cambodia,2010,31.667496345701
KHM,Cambodia,2011,31.5769764629167
KHM,Cambodia,2012,31.9329092841833
KHM,Cambodia,2013,31.637960448714
KHM,Cambodia,2014,33.1162975078679
,,2015,33.1162975078679
,,2016,33.1162975078679
,,2017,33.1162975078679
,,2018,33.1162975078679
,,2019,33.1162975078679
,,2020,33.1162975078679
,,2021,33.1162975078679
,,2022,33.1162975078679
,,2023,33.1162975078679
,,2024,33.1162975078679
,,2025,33.1162975078679
,,2026,33.1162975078679
,,2027,33.1162975078679
,,2028,33.1162975078679
,,2029,33.1162975078679
,,2030,33.1162975078679
,,2031,33.1162975078679
,,2032,33.1162975078679
,,2033,33.1162975078679
,,2034,33.1162975078679
,,2035,33.1162975078679
MMR,Myanmar,2000,-20.0640122620477
MMR,Myanmar,2001,-26.4016292342948
MMR,Myanmar,2002,-26.8298777862865
MMR,Myanmar,2003,-30.3798505561929
MMR,Myanmar,2004,-36.4349797608593
MMR,Myanmar,2005,-49.5520700748116
MMR,Myanmar,2006,-50.4953996804394
MMR,Myanmar,2007,-50.7192916542339
MMR,Myanmar,2008,-50.0477876394336
MMR,Myanmar,2009,-54.0043312798301
MMR,Myanmar,2010,-60.8937365310255
MMR,Myanmar,2011,-58.2463682570112
MMR,Myanmar,2012,-46.2835353583934
MMR,Myanmar,2013,-39.8198016411833
MMR,Myanmar,2014,-32.9707940690214
,,2015,-32.9707940690214
,,2016,-32.9707940690214
,,2017,-32.9707940690214
,,2018,-32.9707940690214
,,2019,-32.9707940690214
,,2020,-32.9707940690214
,,2021,-32.9707940690214
,,2022,-32.9707940690214
,,2023,-32.9707940690214
,,2024,-32.9707940690214
,,2025,-32.9707940690214
,,2026,-32.9707940690214
,,2027,-32.9707940690214
,,2028,-32.9707940690214
,,2029,-32.9707940690214
,,2030,-32.9707940690214
,,2031,-32.9707940690214
,,2032,-32.9707940690214
,,2033,-32.9707940690214
,,2034,-32.9707940690214
,,2035,-32.9707940690214
MYS,Malaysia,2000,-58.6133137909066
MYS,Malaysia,2001,-54.0123700348272
MYS,Malaysia,2002,-55.0893697248292
MYS,Malaysia,2003,-50.6956753599229
MYS,Malaysia,2004,-52.0792254693467
MYS,Malaysia,2005,-45.3960406342887
MYS,Malaysia,2006,-40.7188250642881
MYS,Malaysia,2007,-28.3541407341323
MYS,Malaysia,2008,-26.9661623574635
MYS,Malaysia,2009,-24.7207893952925
MYS,Malaysia,2010,-21.7027753593753
MYS,Malaysia,2011,-14.7370616925982
MYS,Malaysia,2012,-11.868809790613
MYS,Malaysia,2013,-5.76051303676827
MYS,Malaysia,2014,-5.50502894059521
,,2015,-5.50502894059521
,,2016,-5.50502894059521
,,2017,-5.50502894059521
,,2018,-5.50502894059521
,,2019,-5.50502894059521
,,2020,-5.50502894059521
,,2021,-5.50502894059521
