country_code,country_name,year,Residential energy consumption (% of total)
,,2000,0.00444113367683264
,,2001,0.00444113367683264
,,2002,0.00444113367683264
,,2003,0.00444113367683264
,,2004,0.00444113367683264
,,2005,0.00444113367683264
,,2006,0.00444113367683264
,,2007,0.00444113367683264
,,2008,0.00444113367683264
,,2009,0.00444113367683264
,,2010,0.00444113367683264
BRN,Brunei Darussalam,2011,0.00444113367683264
BRN,Brunei Darussalam,2012,0.00449080768220538
BRN,Brunei Darussalam,2013,0.00565388122510402
BRN,Brunei Darussalam,2014,0.00483966771741855
,,2015,0.00483966771741855
,,2016,0.00483966771741855
,,2017,0.00483966771741855
,,2018,0.00483966771741855
,,2019,0.00483966771741855
,,2020,0.00483966771741855
,,2021,0.00483966771741855
,,2022,0.00483966771741855
,,2023,0.00483966771741855
,,2024,0.00483966771741855
,,2025,0.00483966771741855
,,2026,0.00483966771741855
,,2027,0.00483966771741855
,,2028,0.00483966771741855
,,2029,0.00483966771741855
,,2030,0.00483966771741855
,,2031,0.00483966771741855
,,2032,0.00483966771741855
,,2033,0.00483966771741855
,,2034,0.00483966771741855
,,2035,0.00483966771741855
IDN,Indonesia,2000,0.697608146602331
IDN,Indonesia,2001,0.796935862625596
IDN,Indonesia,2002,0.677335042151991
IDN,Indonesia,2003,0.639576316232767
IDN,Indonesia,2004,0.662289287272607
IDN,Indonesia,2005,0.700147940703874
IDN,Indonesia,2006,0.648572291920001
IDN,Indonesia,2007,0.73552095661815
IDN,Indonesia,2008,0.787998661919356
IDN,Indonesia,2009,0.764661577618579
IDN,Indonesia,2010,0.947814874501349
IDN,Indonesia,2011,0.800177347678535
IDN,Indonesia,2012,0.789529582538626
IDN,Indonesia,2013,0.904904505605409
IDN,Indonesia,2014,0.83857029181184
,,2015,0.83857029181184
,,2016,0.83857029181184
,,2017,0.83857029181184
,,2018,0.83857029181184
,,2019,0.83857029181184
,,2020,0.83857029181184
,,2021,0.83857029181184
,,2022,0.83857029181184
,,2023,0.83857029181184
,,2024,0.83857029181184
,,2025,0.83857029181184
,,2026,0.83857029181184
,,2027,0.83857029181184
,,2028,0.83857029181184
,,2029,0.83857029181184
,,2030,0.83857029181184
,,2031,0.83857029181184
,,2032,0.83857029181184
,,2033,0.83857029181184
,,2034,0.83857029181184
,,2035,0.83857029181184
KHM,Cambodia,2000,0.00252024400650809
KHM,Cambodia,2001,0.00250717606264908
KHM,Cambodia,2002,0.0548982487692918
KHM,Cambodia,2003,0.0738542981529663
KHM,Cambodia,2004,0.0639088498000893
KHM,Cambodia,2005,0.100524111668848
KHM,Cambodia,2006,0.119243174583179
KHM,Cambodia,2007,0.114241617630907
KHM,Cambodia,2008,0.124447288576003
KHM,Cambodia,2009,0.115116225744109
KHM,Cambodia,2010,0.110706029810324
KHM,Cambodia,2011,0.185012225357854
KHM,Cambodia,2012,1.7404604869063
KHM,Cambodia,2013,2.89563711875362
KHM,Cambodia,2014,3.31926620677437
,,2015,3.31926620677437
,,2016,3.31926620677437
,,2017,3.31926620677437
,,2018,3.31926620677437
,,2019,3.31926620677437
,,2020,3.31926620677437
,,2021,3.31926620677437
,,2022,3.31926620677437
,,2023,3.31926620677437
,,2024,3.31926620677437
,,2025,3.31926620677437
,,2026,3.31926620677437
,,2027,3.31926620677437
,,2028,3.31926620677437
,,2029,3.31926620677437
,,2030,3.31926620677437
,,2031,3.31926620677437
,,2032,3.31926620677437
,,2033,3.31926620677437
,,2034,3.31926620677437
,,2035,3.31926620677437
MMR,Myanmar,2000,0.809270814166421
MMR,Myanmar,2001,0.78738041446253
MMR,Myanmar,2002,0.961984825320064
MMR,Myanmar,2003,0.899996809125135
MMR,Myanmar,2004,0.972150143552975
MMR,Myanmar,2005,1.05351879823417
MMR,Myanmar,2006,1.33763395947599
MMR,Myanmar,2007,1.37712029293154
MMR,Myanmar,2008,1.64482183436504
MMR,Myanmar,2009,2.26380564186813
MMR,Myanmar,2010,2.61148368260663
MMR,Myanmar,2011,3.52983540613004
MMR,Myanmar,2012,3.28119044849812
MMR,Myanmar,2013,3.58528949339739
MMR,Myanmar,2014,3.12653493147673
,,2015,3.12653493147673
,,2016,3.12653493147673
,,2017,3.12653493147673
,,2018,3.12653493147673
,,2019,3.12653493147673
,,2020,3.12653493147673
,,2021,3.12653493147673
,,2022,3.12653493147673
,,2023,3.12653493147673
,,2024,3.12653493147673
,,2025,3.12653493147673
,,2026,3.12653493147673
,,2027,3.12653493147673
,,2028,3.12653493147673
