country_code,country_name,year,Fossil fuel energy consumption (% of total)
,,2000,99.9999072952175
,,2001,99.9999072952175
BRN,Brunei Darussalam,2002,99.9999072952175
BRN,Brunei Darussalam,2003,100.0
BRN,Brunei Darussalam,2004,100.0
BRN,Brunei Darussalam,2005,100.0
BRN,Brunei Darussalam,2006,100.0
BRN,Brunei Darussalam,2007,100.0
,,2008,99.99996713559784
BRN,Brunei Darussalam,2009,99.9999342711957
,,2010,99.9977852995764
BRN,Brunei Darussalam,2011,99.9956363279571
BRN,Brunei Darussalam,2012,99.9955353016648
BRN,Brunei Darussalam,2013,99.9943789901774
BRN,Brunei Darussalam,2014,99.9951884698856
,,2015,99.9951884698856
,,2016,99.9951884698856
,,2017,99.9951884698856
,,2018,99.9951884698856
,,2019,99.9951884698856
,,2020,99.9951884698856
,,2021,99.9951884698856
,,2022,99.9951884698856
,,2023,99.9951884698856
,,2024,99.9951884698856
,,2025,99.9951884698856
,,2026,99.9951884698856
,,2027,99.9951884698856
,,2028,99.9951884698856
,,2029,99.9951884698856
,,2030,99.9951884698856
,,2031,99.9951884698856
,,2032,99.9951884698856
,,2033,99.9951884698856
,,2034,99.9951884698856
,,2035,99.9951884698856
IDN,Indonesia,2000,61.9522672519218
IDN,Indonesia,2001,61.4567561997716
IDN,Indonesia,2002,62.5492538730196
IDN,Indonesia,2003,62.4420226939689
IDN,Indonesia,2004,64.3164471823184
IDN,Indonesia,2005,64.9962452984458
IDN,Indonesia,2006,65.1770813902277
IDN,Indonesia,2007,64.5846374090852
IDN,Indonesia,2008,63.8070770740834
IDN,Indonesia,2009,65.5207245811215
IDN,Indonesia,2010,67.1547878248677
IDN,Indonesia,2011,65.3021441970397
IDN,Indonesia,2012,65.3447506537263
IDN,Indonesia,2013,65.2656868066395
IDN,Indonesia,2014,66.089475456589
,,2015,66.089475456589
,,2016,66.089475456589
,,2017,66.089475456589
,,2018,66.089475456589
,,2019,66.089475456589
,,2020,66.089475456589
,,2021,66.089475456589
,,2022,66.089475456589
,,2023,66.089475456589
,,2024,66.089475456589
,,2025,66.089475456589
,,2026,66.089475456589
,,2027,66.089475456589
,,2028,66.089475456589
,,2029,66.089475456589
,,2030,66.089475456589
,,2031,66.089475456589
,,2032,66.089475456589
,,2033,66.089475456589
,,2034,66.089475456589
,,2035,66.089475456589
KHM,Cambodia,2000,20.3362884659568
KHM,Cambodia,2001,21.6418563131568
KHM,Cambodia,2002,18.6214465678362
KHM,Cambodia,2003,19.5471289832299
KHM,Cambodia,2004,24.4328044179516
KHM,Cambodia,2005,27.1997890514563
KHM,Cambodia,2006,29.4288044589195
KHM,Cambodia,2007,32.9681312128494
KHM,Cambodia,2008,32.7345560551099
KHM,Cambodia,2009,27.9439948211585
KHM,Cambodia,2010,30.0598312436618
KHM,Cambodia,2011,28.9806910596603
KHM,Cambodia,2012,29.0450930218869
KHM,Cambodia,2013,28.612234256152
KHM,Cambodia,2014,30.629081397544
,,2015,30.629081397544
,,2016,30.629081397544
,,2017,30.629081397544
,,2018,30.629081397544
,,2019,30.629081397544
,,2020,30.629081397544
,,2021,30.629081397544
,,2022,30.629081397544
,,2023,30.629081397544
,,2024,30.629081397544
,,2025,30.629081397544
,,2026,30.629081397544
,,2027,30.629081397544
,,2028,30.629081397544
,,2029,30.629081397544
,,2030,30.629081397544
,,2031,30.629081397544
,,2032,30.629081397544
,,2033,30.629081397544
,,2034,30.629081397544
,,2035,30.629081397544
MMR,Myanmar,2000,27.18147716903
MMR,Myanmar,2001,23.6261762134693
MMR,Myanmar,2002,24.0738623903879
MMR,Myanmar,2003,27.1169855741187
MMR,Myanmar,2004,30.1346938673784
MMR,Myanmar,2005,29.4773524309751
MMR,Myanmar,2006,29.8155940222125
MMR,Myanmar,2007,31.7040885638914
MMR,Myanmar,2008,28.4497335049921
MMR,Myanmar,2009,23.2788653089046
MMR,Myanmar,2010,21.2235591585033
MMR,Myanmar,2011,20.8796747008265
MMR,Myanmar,2012,26.9294381626906
MMR,Myanmar,2013,30.7299531252145
MMR,Myanmar,2014,44.2898952399838
,,2015,44.2898952399838
,,2016,44.2898952399838
,,2017,44.2898952399838
,,2018,44.2898952399838
,,2019,44.2898952399838
,,2020,44.2898952399838
,,2021,44.2898952399838
,,2022,44.2898952399838
,,2023,44.2898952399838
,,2024,44.2898952399838
,,2025,44.2898952399838
,,2026,44.2898952399838
,,2027,44.2898952399838
,,2028,44.2898952399838
,,2029,44.2898952399838
,,2030,44.2898952399838
,,2031,44.2898952399838
,,2032,44.2898952399838
,,2033,44.2898952399838
,,2034,44.2898952399838
,,2035,44.2898952399838
MYS,Malaysia,2000,94.9730969134974
MYS,Malaysia,2001,95.1780638263954
MYS,Malaysia,2002,95.6284197268942
MYS,Malaysia,2003,95.9911100418413
MYS,Malaysia,2004,96.2164669700382
MYS,Malaysia,2005,96.8270839757407
MYS,Malaysia,2006,96.6940755469026
MYS,Malaysia,2007,96.9448283252121
MYS,Malaysia,2008,96.7602257708384
MYS,Malaysia,2009,96.6643483947923
MYS,Malaysia,2010,96.896213032511
MYS,Malaysia,2011,96.81165029369
MYS,Malaysia,2012,96.7402331937941
MYS,Malaysia,2013,96.7518810939698
MYS,Malaysia,2014,96.6281988978081
,,2015,96.6281988978081
,,2016,96.6281988978081
,,2017,96.6281988978081
,,2018,96.6281988978081
,,2019,96.6281988978081
,,2020,96.6281988978081
,,2021,96.6281988978081
,,2022,96.6281988978081
,,2023,96.6281988978081
,,2024,96.6281988978081
,,2025,96.6281988978081
,,2026,96.6281988978081
,,2027,96.6281988978081
,,2028,96.6281988978081
,,2029,96.6281988978081
,,2030,96.6281988978081
,,2031,96.6281988978081
,,2032,96.6281988978081
,,2033,96.6281988978081
,,2034,96.6281988978081
,,2035,96.6281988978081
PHL,Philippines,2000,53.0686072962105
PHL,Philippines,2001,54.304902746892
PHL,Philippines,2002,55.872919631993
PHL,Philippines,2003,57.2156239264721
PHL,Philippines,2004,56.3830346446124
PHL,Philippines,2005,57.8125893578486
PHL,Philippines,2006,56.182376080838
PHL,Philippines,2007,57.2748354547926
PHL,Philippines,2008,57.6297547713247
PHL,Philippines,2009,56.2629237068097
PHL,Philippines,2010,60.1111697621336
PHL,Philippines,2011,59.8809862216574
PHL,Philippines,2012,59.4838029356379
PHL,Philippines,2013,61.4121390511965
PHL,Philippines,2014,62.4348962921868
,,2015,62.4348962921868
,,2016,62.4348962921868
,,2017,62.4348962921868
,,2018,62.4348962921868
,,2019,62.4348962921868
,,2020,62.4348962921868
,,2021,62.4348962921868
,,2022,62.4348962921868
,,2023,62.4348962921868
,,2024,62.4348962921868
,,2025,62.4348962921868
,,2026,62.4348962921868
,,2027,62.4348962921868
,,2028,62.4348962921868
,,2029,62.4348962921868
,,2030,62.4348962921868
,,2031,62.4348962921868
,,2032,62.4348962921868
,,2033,62.4348962921868
,,2034,62.4348962921868
,,2035,62.4348962921868
SGP,Singapore,2000,98.9178093257437
SGP,Singapore,2001,98.1682125594019
SGP,Singapore,2002,98.1551193464635
SGP,Singapore,2003,98.4042484988742
SGP,Singapore,2004,98.7137391727025
SGP,Singapore,2005,98.1711273728879
SGP,Singapore,2006,98.3013645776058
