country_code,country_name,year,Electric power consumption (kWh per capita)
BRN,Brunei Darussalam,2000,7701.63958532461
BRN,Brunei Darussalam,2001,7325.74359897404
BRN,Brunei Darussalam,2002,7518.39905439299
BRN,Brunei Darussalam,2003,8715.16889426114
BRN,Brunei Darussalam,2004,8755.74861650671
BRN,Brunei Darussalam,2005,8609.25676202788
BRN,Brunei Darussalam,2006,8561.32922725914
BRN,Brunei Darussalam,2007,8709.18077077598
BRN,Brunei Darussalam,2008,8626.41711201637
BRN,Brunei Darussalam,2009,8816.6836384796
BRN,Brunei Darussalam,2010,8727.30238675408
BRN,Brunei Darussalam,2011,8658.22543935862
BRN,Brunei Darussalam,2012,9091.20049709412
BRN,Brunei Darussalam,2013,9710.5558825103
BRN,Brunei Darussalam,2014,10118.7762447511
,,2015,10118.7762447511
,,2016,10118.7762447511
,,2017,10118.7762447511
,,2018,10118.7762447511
,,2019,10118.7762447511
,,2020,10118.7762447511
,,2021,10118.7762447511
,,2022,10118.7762447511
,,2023,10118.7762447511
,,2024,10118.7762447511
,,2025,10118.7762447511
,,2026,10118.7762447511
,,2027,10118.7762447511
,,2028,10118.7762447511
,,2029,10118.7762447511
,,2030,10118.7762447511
,,2031,10118.7762447511
,,2032,10118.7762447511
,,2033,10118.7762447511
,,2034,10118.7762447511
,,2035,10118.7762447511
IDN,Indonesia,2000,382.177177950589
IDN,Indonesia,2001,402.696690358998
IDN,Indonesia,2002,408.602885980203
IDN,Indonesia,2003,419.825977753156
IDN,Indonesia,2004,464.715295314152
IDN,Indonesia,2005,490.714212853765
IDN,Indonesia,2006,505.813910645093
IDN,Indonesia,2007,535.352859530782
IDN,Indonesia,2008,558.932262162532
IDN,Indonesia,2009,582.711058646864
IDN,Indonesia,2010,624.440425205266
IDN,Indonesia,2011,668.408941399422
IDN,Indonesia,2012,721.048925790129
IDN,Indonesia,2013,761.747589480933
IDN,Indonesia,2014,800.150962579781
IDN,Indonesia,2015,910.0
IDN,Indonesia,2016,956.0
IDN,Indonesia,2017,1021.0
IDN,Indonesia,2018,1064.0
IDN,Indonesia,2019,1084.0
,,2020,1084.0
,,2021,1084.0
,,2022,1084.0
,,2023,1084.0
,,2024,1084.0
,,2025,1084.0
,,2026,1084.0
,,2027,1084.0
,,2028,1084.0
,,2029,1084.0
,,2030,1084.0
,,2031,1084.0
,,2032,1084.0
,,2033,1084.0
,,2034,1084.0
,,2035,1084.0
KHM,Cambodia,2000,31.9362276863663
KHM,Cambodia,2001,35.7862758289223
KHM,Cambodia,2002,49.4739849684654
KHM,Cambodia,2003,50.724206817456
KHM,Cambodia,2004,54.965253729955
KHM,Cambodia,2005,65.9265334355418
KHM,Cambodia,2006,79.771080461159
KHM,Cambodia,2007,99.4092518514612
KHM,Cambodia,2008,113.210401495601
KHM,Cambodia,2009,126.288715756531
KHM,Cambodia,2010,142.406662949152
KHM,Cambodia,2011,163.082784924168
KHM,Cambodia,2012,204.95032313299
KHM,Cambodia,2013,219.443266697464
KHM,Cambodia,2014,269.212273845453
,,2015,269.212273845453
,,2016,269.212273845453
,,2017,269.212273845453
,,2018,269.212273845453
,,2019,269.212273845453
,,2020,269.212273845453
,,2021,269.212273845453
,,2022,269.212273845453
,,2023,269.212273845453
,,2024,269.212273845453
,,2025,269.212273845453
,,2026,269.212273845453
,,2027,269.212273845453
,,2028,269.212273845453
,,2029,269.212273845453
,,2030,269.212273845453
,,2031,269.212273845453
,,2032,269.212273845453
,,2033,269.212273845453
,,2034,269.212273845453
,,2035,269.212273845453
MMR,Myanmar,2000,77.6315900161801
MMR,Myanmar,2001,70.5466385706504
MMR,Myanmar,2002,75.3579942730087
MMR,Myanmar,2003,82.477642965962
