country_code,country_name,year,Mobile cellular subscriptions (per 100 people)
BRN,Brunei Darussalam,2000,28.44941694
BRN,Brunei Darussalam,2001,41.96767112
BRN,Brunei Darussalam,2002,44.21967231
BRN,Brunei Darussalam,2003,50.09673912
BRN,Brunei Darussalam,2004,56.16529944
BRN,Brunei Darussalam,2005,63.5094637
BRN,Brunei Darussalam,2006,80.84590459
BRN,Brunei Darussalam,2007,96.67060948
BRN,Brunei Darussalam,2008,103.7155978
BRN,Brunei Darussalam,2009,105.7828245
BRN,Brunei Darussalam,2010,109.8603214
BRN,Brunei Darussalam,2011,110.3746893
BRN,Brunei Darussalam,2012,115.5191155
BRN,Brunei Darussalam,2013,113.8721697
BRN,Brunei Darussalam,2014,108.4957375
BRN,Brunei Darussalam,2015,109.9533264
BRN,Brunei Darussalam,2016,122.8780218
BRN,Brunei Darussalam,2017,126.6006005
BRN,Brunei Darussalam,2018,130.3207192
BRN,Brunei Darussalam,2019,131.2182683
BRN,Brunei Darussalam,2020,121.4758051
BRN,Brunei Darussalam,2021,135.501254
BRN,Brunei Darussalam,2022,117.7551548
,,2023,117.7551548
,,2024,117.7551548
,,2025,117.7551548
,,2026,117.7551548
,,2027,117.7551548
,,2028,117.7551548
,,2029,117.7551548
,,2030,117.7551548
,,2031,117.7551548
,,2032,117.7551548
,,2033,117.7551548
,,2034,117.7551548
,,2035,117.7551548
IDN,Indonesia,2000,1.714058712
IDN,Indonesia,2001,3.003488464
IDN,Indonesia,2002,5.31540109
IDN,Indonesia,2003,8.290855733
IDN,Indonesia,2004,13.42692564
IDN,Indonesia,2005,20.5021492
IDN,Indonesia,2006,27.52533357
IDN,Indonesia,2007,39.76307645
IDN,Indonesia,2008,59.08224127
IDN,Indonesia,2009,67.92102195
IDN,Indonesia,2010,86.58861927
IDN,Indonesia,2011,101.095073
IDN,Indonesia,2012,112.6850884
IDN,Indonesia,2013,123.6702315
IDN,Indonesia,2014,127.0667453
IDN,Indonesia,2015,130.8216306
IDN,Indonesia,2016,147.24962
IDN,Indonesia,2017,164.5351584
IDN,Indonesia,2018,119.6084851
IDN,Indonesia,2019,126.5946679
IDN,Indonesia,2020,130.8110952
IDN,Indonesia,2021,133.6505363
IDN,Indonesia,2022,114.9005566
,,2023,114.9005566
,,2024,114.9005566
,,2025,114.9005566
,,2026,114.9005566
,,2027,114.9005566
,,2028,114.9005566
,,2029,114.9005566
,,2030,114.9005566
,,2031,114.9005566
,,2032,114.9005566
,,2033,114.9005566
,,2034,114.9005566
,,2035,114.9005566
KHM,Cambodia,2000,1.077223474
KHM,Cambodia,2001,1.811108143
KHM,Cambodia,2002,3.025049479
KHM,Cambodia,2003,3.897398361
KHM,Cambodia,2004,6.618588238
KHM,Cambodia,2005,8.01716186
KHM,Cambodia,2006,12.77398895
KHM,Cambodia,2007,18.83599976
KHM,Cambodia,2008,30.3860731
KHM,Cambodia,2009,44.2788579
KHM,Cambodia,2010,56.74623762
KHM,Cambodia,2011,94.39487785
KHM,Cambodia,2012,129.2052488
KHM,Cambodia,2013,135.0996151
KHM,Cambodia,2014,134.4568277
KHM,Cambodia,2015,135.2392534
KHM,Cambodia,2016,127.4626128
KHM,Cambodia,2017,117.3225889
KHM,Cambodia,2018,121.1658947
KHM,Cambodia,2019,132.1508925
KHM,Cambodia,2020,128.6026166
KHM,Cambodia,2021,119.9575768
KHM,Cambodia,2022,116.3256071
,,2023,116.3256071
,,2024,116.3256071
,,2025,116.3256071
,,2026,116.3256071
,,2027,116.3256071
,,2028,116.3256071
,,2029,116.3256071
,,2030,116.3256071
,,2031,116.3256071
,,2032,116.3256071
,,2033,116.3256071
,,2034,116.3256071
,,2035,116.3256071
LAO,Lao PDR,2000,0.233499231
LAO,Lao PDR,2001,0.535263919
LAO,Lao PDR,2002,0.983928046
LAO,Lao PDR,2003,1.97352289
LAO,Lao PDR,2004,3.539963389
LAO,Lao PDR,2005,11.23409141
LAO,Lao PDR,2006,16.97720022
LAO,Lao PDR,2007,24.47150868
LAO,Lao PDR,2008,32.95597261
LAO,Lao PDR,2009,51.92100072
LAO,Lao PDR,2010,63.31061777
LAO,Lao PDR,2011,85.42039479
LAO,Lao PDR,2012,66.06436451
LAO,Lao PDR,2013,69.88020438
LAO,Lao PDR,2014,69.02215871
LAO,Lao PDR,2015,54.91280264
LAO,Lao PDR,2016,57.44162039
LAO,Lao PDR,2017,53.04168369
LAO,Lao PDR,2018,51.54585373
LAO,Lao PDR,2019,64.29411986
LAO,Lao PDR,2020,63.34796067
LAO,Lao PDR,2021,64.95535792
,,2022,64.95535792
,,2023,64.95535792
,,2024,64.95535792
,,2025,64.95535792
,,2026,64.95535792
,,2027,64.95535792
,,2028,64.95535792
,,2029,64.95535792
,,2030,64.95535792
,,2031,64.95535792
,,2032,64.95535792
,,2033,64.95535792
,,2034,64.95535792
,,2035,64.95535792
MMR,Myanmar,2000,0.029419172
MMR,Myanmar,2001,0.049268903
MMR,Myanmar,2002,0.103230987
MMR,Myanmar,2003,0.141753867
MMR,Myanmar,2004,0.195300032
MMR,Myanmar,2005,0.269672968
MMR,Myanmar,2006,0.445459947
MMR,Myanmar,2007,0.511172861
MMR,Myanmar,2008,0.753933666
MMR,Myanmar,2009,1.024169005
MMR,Myanmar,2010,1.202648548
MMR,Myanmar,2011,2.497501633
MMR,Myanmar,2012,7.426825561
MMR,Myanmar,2013,13.48984154
MMR,Myanmar,2014,56.83954844
MMR,Myanmar,2015,79.62426697
MMR,Myanmar,2016,97.48338233
MMR,Myanmar,2017,91.69666523
MMR,Myanmar,2018,116.0975729
MMR,Myanmar,2019,154.4969145
MMR,Myanmar,2020,147.0303762
MMR,Myanmar,2021,126.2686102
MMR,Myanmar,2022,106.6964737
,,2023,106.6964737
,,2024,106.6964737
,,2025,106.6964737
,,2026,106.6964737
,,2027,106.6964737
,,2028,106.6964737
,,2029,106.6964737
,,2030,106.6964737
,,2031,106.6964737
,,2032,106.6964737
,,2033,106.6964737
,,2034,106.6964737
,,2035,106.6964737
MYS,Malaysia,2000,22.32170197
MYS,Malaysia,2001,31.36877845
MYS,Malaysia,2002,37.49827327
MYS,Malaysia,2003,44.96469217
MYS,Malaysia,2004,57.67519655
MYS,Malaysia,2005,75.39480725
MYS,Malaysia,2006,73.42192752
MYS,Malaysia,2007,86.17480992
MYS,Malaysia,2008,100.1760536
MYS,Malaysia,2009,106.8284441
MYS,Malaysia,2010,117.9017242
MYS,Malaysia,2011,125.6206583
MYS,Malaysia,2012,139.3270554
MYS,Malaysia,2013,142.7087288
MYS,Malaysia,2014,146.794505
MYS,Malaysia,2015,141.9557664
MYS,Malaysia,2016,137.8669153
MYS,Malaysia,2017,132.4079212
MYS,Malaysia,2018,130.908501
MYS,Malaysia,2019,135.9610804
MYS,Malaysia,2020,131.6976181
MYS,Malaysia,2021,140.5905675
MYS,Malaysia,2022,141.2923164
,,2023,141.2923164
,,2024,141.2923164
,,2025,141.2923164
,,2026,141.2923164
,,2027,141.2923164
,,2028,141.2923164
,,2029,141.2923164
,,2030,141.2923164
,,2031,141.2923164
,,2032,141.2923164
,,2033,141.2923164
,,2034,141.2923164
,,2035,141.2923164
PHL,Philippines,2000,8.27925362
PHL,Philippines,2001,15.27032611
PHL,Philippines,2002,18.92463893
PHL,Philippines,2003,27.13864248
PHL,Philippines,2004,38.92784282
PHL,Philippines,2005,40.31821357
PHL,Philippines,2006,48.76907405
PHL,Philippines,2007,64.02850974
PHL,Philippines,2008,74.64704735
PHL,Philippines,2009,81.32235128
PHL,Philippines,2010,87.86246562
PHL,Philippines,2011,97.77022573
PHL,Philippines,2012,104.0252318
PHL,Philippines,2013,103.1328562
PHL,Philippines,2014,109.8700461
PHL,Philippines,2015,114.3710694
PHL,Philippines,2016,114.5140314
PHL,Philippines,2017,112.3979818
PHL,Philippines,2018,123.9757392
PHL,Philippines,2019,151.5865313
PHL,Philippines,2020,133.3257005
PHL,Philippines,2021,143.4358742
PHL,Philippines,2022,144.0428223
,,2023,144.0428223
,,2024,144.0428223
,,2025,144.0428223
,,2026,144.0428223
,,2027,144.0428223
,,2028,144.0428223
,,2029,144.0428223
,,2030,144.0428223
,,2031,144.0428223
,,2032,144.0428223
,,2033,144.0428223
,,2034,144.0428223
,,2035,144.0428223
SGP,Singapore,2000,67.77675756
SGP,Singapore,2001,72.58809459
SGP,Singapore,2002,79.3192099
SGP,Singapore,2003,84.63439691
SGP,Singapore,2004,93.4502185
SGP,Singapore,2005,100.9198005
SGP,Singapore,2006,106.7315594
SGP,Singapore,2007,127.0378465
SGP,Singapore,2008,132.5809637
SGP,Singapore,2009,137.4018501
SGP,Singapore,2010,143.0129038
SGP,Singapore,2011,147.5817519
SGP,Singapore,2012,149.9274113
SGP,Singapore,2013,154.0346262
SGP,Singapore,2014,145.4770145
SGP,Singapore,2015,145.7181198
SGP,Singapore,2016,148.123236
SGP,Singapore,2017,145.4058271
SGP,Singapore,2018,147.3617155
SGP,Singapore,2019,154.0006188
SGP,Singapore,2020,142.8931601
SGP,Singapore,2021,147.480416
SGP,Singapore,2022,156.4790531
,,2023,156.4790531
,,2024,156.4790531
,,2025,156.4790531
,,2026,156.4790531
,,2027,156.4790531
,,2028,156.4790531
,,2029,156.4790531
,,2030,156.4790531
,,2031,156.4790531
,,2032,156.4790531
,,2033,156.4790531
,,2034,156.4790531
,,2035,156.4790531
THA,Thailand,2000,4.845670931
THA,Thailand,2001,11.86176404
THA,Thailand,2002,27.17095763
THA,Thailand,2003,33.37129642
THA,Thailand,2004,41.28780674
THA,Thailand,2005,46.27713253
THA,Thailand,2006,60.503253
THA,Thailand,2007,79.27063763
THA,Thailand,2008,91.84432107
THA,Thailand,2009,97.25521206
THA,Thailand,2010,105.0619397
THA,Thailand,2011,112.714004
THA,Thailand,2012,122.9260548
THA,Thailand,2013,134.8819857
THA,Thailand,2014,138.7860081
THA,Thailand,2015,146.4441042
THA,Thailand,2016,169.4859395
THA,Thailand,2017,171.4147843
THA,Thailand,2018,175.8777812
THA,Thailand,2019,181.7670258
THA,Thailand,2020,162.7043297
THA,Thailand,2021,168.7823161
THA,Thailand,2022,176.3169269
,,2023,176.3169269
,,2024,176.3169269
,,2025,176.3169269
,,2026,176.3169269
,,2027,176.3169269
,,2028,176.3169269
,,2029,176.3169269
,,2030,176.3169269
,,2031,176.3169269
,,2032,176.3169269
,,2033,176.3169269
,,2034,176.3169269
,,2035,176.3169269
VNM,Vietnam,2000,0.99816152
VNM,Vietnam,2001,1.567564328
VNM,Vietnam,2002,2.359044585
VNM,Vietnam,2003,3.365415447
VNM,Vietnam,2004,6.025909442
VNM,Vietnam,2005,11.53831883
VNM,Vietnam,2006,22.50396061
VNM,Vietnam,2007,53.11803062
VNM,Vietnam,2008,87.47047116
VNM,Vietnam,2009,113.5761578
VNM,Vietnam,2010,127.6386103
VNM,Vietnam,2011,144.1078862
VNM,Vietnam,2012,147.4487893
VNM,Vietnam,2013,137.0761674
VNM,Vietnam,2014,149.2271298
VNM,Vietnam,2015,130.5154869
VNM,Vietnam,2016,129.5014832
VNM,Vietnam,2017,127.6319162
VNM,Vietnam,2018,148.1748225
VNM,Vietnam,2019,142.2374996
VNM,Vietnam,2020,143.7522156
VNM,Vietnam,2021,138.8654955
VNM,Vietnam,2022,139.9496874
,,2023,139.9496874
,,2024,139.9496874
,,2025,139.9496874
,,2026,139.9496874
,,2027,139.9496874
,,2028,139.9496874
,,2029,139.9496874
,,2030,139.9496874
,,2031,139.9496874
,,2032,139.9496874
,,2033,139.9496874
,,2034,139.9496874
,,2035,139.9496874
