country_code,country_name,year,Manufacturing (% of GDP)
BRN,Brunei Darussalam,2000,2.45967156476995
BRN,Brunei Darussalam,2001,2.29641446656721
BRN,Brunei Darussalam,2002,2.85753016535136
BRN,Brunei Darussalam,2003,2.49651780543055
BRN,Brunei Darussalam,2004,2.1141374391862
BRN,Brunei Darussalam,2005,1.6722499966591
BRN,Brunei Darussalam,2006,1.2269150521277
BRN,Brunei Darussalam,2007,1.10446083928724
BRN,Brunei Darussalam,2008,0.902506028214556
BRN,Brunei Darussalam,2009,1.22236133267364
BRN,Brunei Darussalam,2010,1.24945271925881
BRN,Brunei Darussalam,2011,1.22071585484908
BRN,Brunei Darussalam,2012,1.45830396709514
BRN,Brunei Darussalam,2013,1.14519241910596
BRN,Brunei Darussalam,2014,1.58675856271092
BRN,Brunei Darussalam,2015,1.6178324732843
BRN,Brunei Darussalam,2016,1.80933250875751
BRN,Brunei Darussalam,2017,1.76286616709727
BRN,Brunei Darussalam,2018,2.13432149853163
BRN,Brunei Darussalam,2019,2.32782256470564
BRN,Brunei Darussalam,2020,6.83209894472881
BRN,Brunei Darussalam,2021,9.67845068289214
BRN,Brunei Darussalam,2022,11.625807221824
BRN,Brunei Darussalam,2023,10.3563505081171
,,2024,10.3563505081171
,,2025,10.3563505081171
,,2026,10.3563505081171
,,2027,10.3563505081171
,,2028,10.3563505081171
,,2029,10.3563505081171
,,2030,10.3563505081171
,,2031,10.3563505081171
,,2032,10.3563505081171
,,2033,10.3563505081171
,,2034,10.3563505081171
,,2035,10.3563505081171
IDN,Indonesia,2000,22.6597512077359
IDN,Indonesia,2001,30.7545972173123
IDN,Indonesia,2002,31.9532784940709
IDN,Indonesia,2003,28.2528418444569
IDN,Indonesia,2004,28.0658265856536
IDN,Indonesia,2005,27.4075074800459
IDN,Indonesia,2006,27.5375740802453
IDN,Indonesia,2007,27.0484127487931
IDN,Indonesia,2008,27.8142729854304
IDN,Indonesia,2009,26.3554745271064
IDN,Indonesia,2010,22.0386285924438
IDN,Indonesia,2011,21.7608545038476
IDN,Indonesia,2012,21.4509550553875
IDN,Indonesia,2013,21.0286886817218
IDN,Indonesia,2014,21.0751760505565
IDN,Indonesia,2015,20.9857874310206
IDN,Indonesia,2016,20.5229746805052
IDN,Indonesia,2017,20.1600223614347
IDN,Indonesia,2018,19.8631933835963
IDN,Indonesia,2019,19.7035390875513
IDN,Indonesia,2020,19.8664218856304
IDN,Indonesia,2021,19.2434077817738
IDN,Indonesia,2022,18.3365234606157
IDN,Indonesia,2023,18.6673912499385
,,2024,18.6673912499385
,,2025,18.6673912499385
,,2026,18.6673912499385
,,2027,18.6673912499385
,,2028,18.6673912499385
,,2029,18.6673912499385
,,2030,18.6673912499385
,,2031,18.6673912499385
,,2032,18.6673912499385
,,2033,18.6673912499385
,,2034,18.6673912499385
,,2035,18.6673912499385
KHM,Cambodia,2000,15.8261662510115
KHM,Cambodia,2001,17.2541894040738
KHM,Cambodia,2002,18.9154863158961
KHM,Cambodia,2003,19.8968986028874
KHM,Cambodia,2004,21.2194689273508
KHM,Cambodia,2005,20.7794318646994
KHM,Cambodia,2006,22.0996133735908
KHM,Cambodia,2007,21.2708661128182
KHM,Cambodia,2008,19.6900110312326
KHM,Cambodia,2009,19.0921648734407
KHM,Cambodia,2010,19.6933673443391
KHM,Cambodia,2011,20.5921067908236
KHM,Cambodia,2012,20.9212544909796
KHM,Cambodia,2013,21.6035358243074
KHM,Cambodia,2014,21.7999725120974
KHM,Cambodia,2015,22.4571002060738
KHM,Cambodia,2016,22.7340356176555
KHM,Cambodia,2017,23.1551231795313
KHM,Cambodia,2018,23.5663927875165
KHM,Cambodia,2019,24.6156471977013
KHM,Cambodia,2020,23.9980719281973
KHM,Cambodia,2021,26.653916852434
KHM,Cambodia,2022,27.1223298665315
KHM,Cambodia,2023,26.3329383959453
,,2024,26.3329383959453
,,2025,26.3329383959453
,,2026,26.3329383959453
,,2027,26.3329383959453
,,2028,26.3329383959453
,,2029,26.3329383959453
,,2030,26.3329383959453
,,2031,26.3329383959453
,,2032,26.3329383959453
,,2033,26.3329383959453
,,2034,26.3329383959453
,,2035,26.3329383959453
LAO,Lao PDR,2000,8.71088702828675
LAO,Lao PDR,2001,9.1444310735075
LAO,Lao PDR,2002,10.1492602809144
LAO,Lao PDR,2003,9.81210926959904
LAO,Lao PDR,2004,10.09899321317
LAO,Lao PDR,2005,9.64161022318721
LAO,Lao PDR,2006,9.455624322685
LAO,Lao PDR,2007,10.0618302002961
LAO,Lao PDR,2008,10.0831015739329
LAO,Lao PDR,2009,11.6792654656985
LAO,Lao PDR,2010,11.0944103727538
LAO,Lao PDR,2011,10.6713661460928
LAO,Lao PDR,2012,8.98377274194291
LAO,Lao PDR,2013,8.43540228331074
LAO,Lao PDR,2014,8.42769528413766
LAO,Lao PDR,2015,8.19005219527172
LAO,Lao PDR,2016,7.77156382707168
LAO,Lao PDR,2017,7.48353451889534
LAO,Lao PDR,2018,7.45272743973651
LAO,Lao PDR,2019,7.64369194070959
LAO,Lao PDR,2020,7.68478649420094
LAO,Lao PDR,2021,8.69509978976757
LAO,Lao PDR,2022,8.80581309491413
LAO,Lao PDR,2023,9.24787735815749
,,2024,9.24787735815749
,,2025,9.24787735815749
,,2026,9.24787735815749
,,2027,9.24787735815749
,,2028,9.24787735815749
,,2029,9.24787735815749
,,2030,9.24787735815749
,,2031,9.24787735815749
,,2032,9.24787735815749
,,2033,9.24787735815749
,,2034,9.24787735815749
