country_code,country_name,year,Industry (% of GDP)
BRN,Brunei Darussalam,2000,66.2665825490249
BRN,Brunei Darussalam,2001,62.747589703032
BRN,Brunei Darussalam,2002,63.0811811095942
BRN,Brunei Darussalam,2003,66.4844980628421
BRN,Brunei Darussalam,2004,70.1910453455162
BRN,Brunei Darussalam,2005,73.1530053254546
BRN,Brunei Darussalam,2006,74.9262612239589
BRN,Brunei Darussalam,2007,73.3951064270473
BRN,Brunei Darussalam,2008,76.4320817859321
BRN,Brunei Darussalam,2009,67.2954810785281
BRN,Brunei Darussalam,2010,68.6533506775087
BRN,Brunei Darussalam,2011,73.6724143877158
BRN,Brunei Darussalam,2012,72.6556143000405
BRN,Brunei Darussalam,2013,70.0224439279192
BRN,Brunei Darussalam,2014,67.8496306363655
BRN,Brunei Darussalam,2015,61.3627776894002
BRN,Brunei Darussalam,2016,57.2893640811557
BRN,Brunei Darussalam,2017,59.7205892141163
BRN,Brunei Darussalam,2018,63.244818370328
BRN,Brunei Darussalam,2019,62.5153213959076
BRN,Brunei Darussalam,2020,59.1336301292727
BRN,Brunei Darussalam,2021,62.7015640831986
BRN,Brunei Darussalam,2022,67.9255854818627
BRN,Brunei Darussalam,2023,61.8007697610423
,,2024,61.8007697610423
,,2025,61.8007697610423
,,2026,61.8007697610423
,,2027,61.8007697610423
,,2028,61.8007697610423
,,2029,61.8007697610423
,,2030,61.8007697610423
,,2031,61.8007697610423
,,2032,61.8007697610423
,,2033,61.8007697610423
,,2034,61.8007697610423
,,2035,61.8007697610423
IDN,Indonesia,2000,41.9690746432197
IDN,Indonesia,2001,47.8935007853871
IDN,Indonesia,2002,47.7453311592597
IDN,Indonesia,2003,43.7495660917608
IDN,Indonesia,2004,44.6276159754602
IDN,Indonesia,2005,46.5410588710711
IDN,Indonesia,2006,46.9435587410795
IDN,Indonesia,2007,46.7991415207073
IDN,Indonesia,2008,48.0607447690175
IDN,Indonesia,2009,47.6521225811621
IDN,Indonesia,2010,42.7758663362749
IDN,Indonesia,2011,43.9134234267133
IDN,Indonesia,2012,43.5937444233376
IDN,Indonesia,2013,42.6356774375889
IDN,Indonesia,2014,41.9283421270033
IDN,Indonesia,2015,40.0478624042506
IDN,Indonesia,2016,39.3084439802081
IDN,Indonesia,2017,39.3791548040237
IDN,Indonesia,2018,39.7297374523848
IDN,Indonesia,2019,38.9517679950779
IDN,Indonesia,2020,38.2383937187942
IDN,Indonesia,2021,39.8448191919686
IDN,Indonesia,2022,41.4300472451885
IDN,Indonesia,2023,40.2156294645022
,,2024,40.2156294645022
,,2025,40.2156294645022
,,2026,40.2156294645022
,,2027,40.2156294645022
,,2028,40.2156294645022
,,2029,40.2156294645022
,,2030,40.2156294645022
,,2031,40.2156294645022
,,2032,40.2156294645022
,,2033,40.2156294645022
,,2034,40.2156294645022
,,2035,40.2156294645022
KHM,Cambodia,2000,21.6455986512559
KHM,Cambodia,2001,23.2646257907737
KHM,Cambodia,2002,25.3793058382166
KHM,Cambodia,2003,26.3428745441044
KHM,Cambodia,2004,27.6802685813967
KHM,Cambodia,2005,27.4192470160455
KHM,Cambodia,2006,29.0700225848228
KHM,Cambodia,2007,28.1400350776131
KHM,Cambodia,2008,26.0495966887473
KHM,Cambodia,2009,25.5665162922046
KHM,Cambodia,2010,26.0088985136981
KHM,Cambodia,2011,26.6606926732023
KHM,Cambodia,2012,27.6110297650086
KHM,Cambodia,2013,28.9581198037895
KHM,Cambodia,2014,29.9169916479613
KHM,Cambodia,2015,31.4639051712341
KHM,Cambodia,2016,33.0562094608004
KHM,Cambodia,2017,34.2980809169165
KHM,Cambodia,2018,36.8714237524226
KHM,Cambodia,2019,39.0455946521572
KHM,Cambodia,2020,37.4576122779361
KHM,Cambodia,2021,40.3205085730071
KHM,Cambodia,2022,40.8649626222158
KHM,Cambodia,2023,40.5173741615592
,,2024,40.5173741615592
,,2025,40.5173741615592
,,2026,40.5173741615592
,,2027,40.5173741615592
,,2028,40.5173741615592
,,2029,40.5173741615592
,,2030,40.5173741615592
,,2031,40.5173741615592
,,2032,40.5173741615592
,,2033,40.5173741615592
,,2034,40.5173741615592
,,2035,40.5173741615592
LAO,Lao PDR,2000,16.4770694017999
LAO,Lao PDR,2001,16.9937147919347
LAO,Lao PDR,2002,18.3826897329941
LAO,Lao PDR,2003,20.1201441501939
LAO,Lao PDR,2004,19.3595097686057
LAO,Lao PDR,2005,23.2287895606829
LAO,Lao PDR,2006,26.1754512486046
LAO,Lao PDR,2007,25.3930205228552
LAO,Lao PDR,2008,26.9497231702456
LAO,Lao PDR,2009,25.163093788149
LAO,Lao PDR,2010,30.4660210858755
LAO,Lao PDR,2011,30.815970194642
LAO,Lao PDR,2012,32.4366446720109
LAO,Lao PDR,2013,30.4277075542967
LAO,Lao PDR,2014,28.815000545489
LAO,Lao PDR,2015,27.6933442499915
LAO,Lao PDR,2016,28.7595046372574
LAO,Lao PDR,2017,30.91247539947
LAO,Lao PDR,2018,31.533192488879
LAO,Lao PDR,2019,31.531381987864
LAO,Lao PDR,2020,32.4163678323352
LAO,Lao PDR,2021,34.1299777246213
LAO,Lao PDR,2022,34.1089797342112
LAO,Lao PDR,2023,30.5335808308347
,,2024,30.5335808308347
,,2025,30.5335808308347
,,2026,30.5335808308347
,,2027,30.5335808308347
,,2028,30.5335808308347
,,2029,30.5335808308347
,,2030,30.5335808308347
,,2031,30.5335808308347
,,2032,30.5335808308347
,,2033,30.5335808308347
,,2034,30.5335808308347
,,2035,30.5335808308347
MMR,Myanmar,2000,9.69226113586128
MMR,Myanmar,2001,10.5804943321805
MMR,Myanmar,2002,13.0068954922166
MMR,Myanmar,2003,14.2582573952557
MMR,Myanmar,2004,16.3663619555986
MMR,Myanmar,2005,17.512204636055
MMR,Myanmar,2006,19.2372930203744
MMR,Myanmar,2007,20.4091296662276
MMR,Myanmar,2008,22.6658154224732
MMR,Myanmar,2009,24.5320050982062
MMR,Myanmar,2010,26.4680642743774
MMR,Myanmar,2011,31.2916488307023
MMR,Myanmar,2012,32.3730207966326
MMR,Myanmar,2013,32.3622196006021
MMR,Myanmar,2014,34.4897147952284
MMR,Myanmar,2015,34.4688212621645
MMR,Myanmar,2016,34.8095048832944
MMR,Myanmar,2017,36.8009211203558
MMR,Myanmar,2018,36.9634615021809
MMR,Myanmar,2019,38.4126110918443
MMR,Myanmar,2020,37.5439155484288
MMR,Myanmar,2021,37.3108899934826
MMR,Myanmar,2022,38.2471357653023
MMR,Myanmar,2023,37.5929250362669
,,2024,37.5929250362669
,,2025,37.5929250362669
,,2026,37.5929250362669
,,2027,37.5929250362669
,,2028,37.5929250362669
,,2029,37.5929250362669
,,2030,37.5929250362669
,,2031,37.5929250362669
,,2032,37.5929250362669
,,2033,37.5929250362669
,,2034,37.5929250362669
,,2035,37.5929250362669
MYS,Malaysia,2000,48.3205714911013
MYS,Malaysia,2001,46.2026949988513
MYS,Malaysia,2002,45.1153796974529
MYS,Malaysia,2003,46.5786626994835
MYS,Malaysia,2004,48.5303176049683
MYS,Malaysia,2005,46.3683224854575
MYS,Malaysia,2006,46.5156572562267
MYS,Malaysia,2007,44.5959960321039
MYS,Malaysia,2008,45.1050654004356
MYS,Malaysia,2009,40.9678238412473
MYS,Malaysia,2010,40.4989323548818
MYS,Malaysia,2011,39.8242687277964
MYS,Malaysia,2012,40.1350010090069
MYS,Malaysia,2013,39.8853736547897
MYS,Malaysia,2014,39.9244244845871
MYS,Malaysia,2015,38.4496697879603
MYS,Malaysia,2016,37.6832735037439
MYS,Malaysia,2017,38.1147163565611
MYS,Malaysia,2018,38.2914391724977
MYS,Malaysia,2019,37.4765552390649
MYS,Malaysia,2020,35.9347385342535
MYS,Malaysia,2021,37.6826861838931
MYS,Malaysia,2022,39.0948343009769
MYS,Malaysia,2023,37.6697498125523
,,2024,37.6697498125523
,,2025,37.6697498125523
,,2026,37.6697498125523
,,2027,37.6697498125523
,,2028,37.6697498125523
,,2029,37.6697498125523
,,2030,37.6697498125523
,,2031,37.6697498125523
,,2032,37.6697498125523
,,2033,37.6697498125523
,,2034,37.6697498125523
,,2035,37.6697498125523
PHL,Philippines,2000,34.9752844865482
PHL,Philippines,2001,34.8976152580491
PHL,Philippines,2002,34.78343526285
PHL,Philippines,2003,34.5405640298629
PHL,Philippines,2004,33.6186962072883
PHL,Philippines,2005,33.8136763053241
PHL,Philippines,2006,33.4625853303804
PHL,Philippines,2007,33.000860932449
PHL,Philippines,2008,32.765288410954
PHL,Philippines,2009,31.5225426812628
PHL,Philippines,2010,32.3395560456604
PHL,Philippines,2011,31.3386827822291
PHL,Philippines,2012,31.3994933621089
PHL,Philippines,2013,30.7754466321992
PHL,Philippines,2014,31.0474444746342
PHL,Philippines,2015,30.4819509830595
PHL,Philippines,2016,30.2859171676697
PHL,Philippines,2017,30.1265505771364
PHL,Philippines,2018,30.5637401551561
PHL,Philippines,2019,30.3275078789962
PHL,Philippines,2020,28.3999175850521
PHL,Philippines,2021,28.8898091185459
PHL,Philippines,2022,29.2212399364338
PHL,Philippines,2023,28.1806863621071
,,2024,28.1806863621071
,,2025,28.1806863621071
,,2026,28.1806863621071
,,2027,28.1806863621071
,,2028,28.1806863621071
,,2029,28.1806863621071
,,2030,28.1806863621071
,,2031,28.1806863621071
,,2032,28.1806863621071
,,2033,28.1806863621071
,,2034,28.1806863621071
,,2035,28.1806863621071
SGP,Singapore,2000,32.4585044954973
SGP,Singapore,2001,30.3796610759446
SGP,Singapore,2002,30.7456754181249
SGP,Singapore,2003,30.2248029160952
SGP,Singapore,2004,31.8858938554669
SGP,Singapore,2005,31.4076522049802
SGP,Singapore,2006,30.8942965496098
SGP,Singapore,2007,28.2257709638809
SGP,Singapore,2008,26.4153381596662
SGP,Singapore,2009,27.0163193688262
SGP,Singapore,2010,26.6358717243037
SGP,Singapore,2011,25.2595925808817
SGP,Singapore,2012,25.0222021555412
SGP,Singapore,2013,23.4427286283197
SGP,Singapore,2014,24.1685192477514
SGP,Singapore,2015,24.2880229055028
SGP,Singapore,2016,23.2451586103696
SGP,Singapore,2017,23.525059681983
SGP,Singapore,2018,25.3939316090861
SGP,Singapore,2019,24.0213523823824
SGP,Singapore,2020,23.2086930878604
SGP,Singapore,2021,24.2773628887138
SGP,Singapore,2022,23.7466066693208
SGP,Singapore,2023,22.4003613246571
,,2024,22.4003613246571
,,2025,22.4003613246571
,,2026,22.4003613246571
,,2027,22.4003613246571
,,2028,22.4003613246571
,,2029,22.4003613246571
,,2030,22.4003613246571
,,2031,22.4003613246571
,,2032,22.4003613246571
,,2033,22.4003613246571
,,2034,22.4003613246571
,,2035,22.4003613246571
THA,Thailand,2000,36.6694083813627
THA,Thailand,2001,36.3210034946673
THA,Thailand,2002,36.8944314471526
THA,Thailand,2003,37.9181748920386
THA,Thailand,2004,37.9023024950671
THA,Thailand,2005,38.5052107116361
THA,Thailand,2006,39.146855883906
THA,Thailand,2007,39.4313718771557
THA,Thailand,2008,39.4796129651304
THA,Thailand,2009,38.6085988884387
THA,Thailand,2010,39.9217256985357
THA,Thailand,2011,37.9813982711097
THA,Thailand,2012,37.343694137461
THA,Thailand,2013,36.8985884648101
THA,Thailand,2014,36.7630403655124
THA,Thailand,2015,36.1791773262667
THA,Thailand,2016,35.586765405076
THA,Thailand,2017,35.018759526322
THA,Thailand,2018,34.7424896675041
THA,Thailand,2019,33.5939105133265
THA,Thailand,2020,33.2907229678575
THA,Thailand,2021,35.0496469400617
THA,Thailand,2022,35.1520930324896
THA,Thailand,2023,32.8865389081309
,,2024,32.8865389081309
,,2025,32.8865389081309
,,2026,32.8865389081309
,,2027,32.8865389081309
,,2028,32.8865389081309
,,2029,32.8865389081309
,,2030,32.8865389081309
,,2031,32.8865389081309
,,2032,32.8865389081309
,,2033,32.8865389081309
,,2034,32.8865389081309
,,2035,32.8865389081309
VNM,Vietnam,2000,36.7307753268455
VNM,Vietnam,2001,38.1294216644677
VNM,Vietnam,2002,38.4866787864761
VNM,Vietnam,2003,39.4700078083864
VNM,Vietnam,2004,40.2087495299221
VNM,Vietnam,2005,38.1311399002846
VNM,Vietnam,2006,38.5847310338981
VNM,Vietnam,2007,38.5116248479069
VNM,Vietnam,2008,37.0776963788801
VNM,Vietnam,2009,37.3881863793419
VNM,Vietnam,2010,33.0228771360005
VNM,Vietnam,2011,34.580408780539
VNM,Vietnam,2012,35.8602323946766
VNM,Vietnam,2013,35.575150437736
VNM,Vietnam,2014,35.2985684880333
VNM,Vietnam,2015,34.2665466382117
VNM,Vietnam,2016,34.1152288612372
VNM,Vietnam,2017,35.3903640729728
VNM,Vietnam,2018,36.5424334086447
VNM,Vietnam,2019,36.8031368977554
VNM,Vietnam,2020,36.7437132938801
VNM,Vietnam,2021,37.39151924693
VNM,Vietnam,2022,38.175376111625
VNM,Vietnam,2023,37.1201018368351
,,2024,37.1201018368351
,,2025,37.1201018368351
,,2026,37.1201018368351
,,2027,37.1201018368351
,,2028,37.1201018368351
,,2029,37.1201018368351
,,2030,37.1201018368351
,,2031,37.1201018368351
,,2032,37.1201018368351
,,2033,37.1201018368351
,,2034,37.1201018368351
,,2035,37.1201018368351
