country_code,country_name,year,GNI per capita
BRN,Brunei Darussalam,2000,19390.0
BRN,Brunei Darussalam,2001,19270.0
BRN,Brunei Darussalam,2002,18960.0
BRN,Brunei Darussalam,2003,19840.0
BRN,Brunei Darussalam,2004,22190.0
BRN,Brunei Darussalam,2005,25670.0
BRN,Brunei Darussalam,2006,30720.0
BRN,Brunei Darussalam,2007,33470.0
BRN,Brunei Darussalam,2008,36700.0
BRN,Brunei Darussalam,2009,35470.0
BRN,Brunei Darussalam,2010,35370.0
BRN,Brunei Darussalam,2011,36520.0
BRN,Brunei Darussalam,2012,41690.0
BRN,Brunei Darussalam,2013,44580.0
BRN,Brunei Darussalam,2014,42370.0
BRN,Brunei Darussalam,2015,38180.0
BRN,Brunei Darussalam,2016,32570.0
BRN,Brunei Darussalam,2017,29230.0
BRN,Brunei Darussalam,2018,28790.0
BRN,Brunei Darussalam,2019,31550.0
BRN,Brunei Darussalam,2020,30810.0
BRN,Brunei Darussalam,2021,29890.0
BRN,Brunei Darussalam,2022,30970.0
BRN,Brunei Darussalam,2023,34480.0
,,2024,34480.0
,,2025,34480.0
,,2026,34480.0
,,2027,34480.0
,,2028,34480.0
,,2029,34480.0
,,2030,34480.0
,,2031,34480.0
,,2032,34480.0
,,2033,34480.0
,,2034,34480.0
,,2035,34480.0
IDN,Indonesia,2000,570.0
IDN,Indonesia,2001,700.0
IDN,Indonesia,2002,780.0
IDN,Indonesia,2003,880.0
IDN,Indonesia,2004,1060.0
IDN,Indonesia,2005,1200.0
IDN,Indonesia,2006,1350.0
IDN,Indonesia,2007,1570.0
IDN,Indonesia,2008,1900.0
IDN,Indonesia,2009,2110.0
IDN,Indonesia,2010,2490.0
IDN,Indonesia,2011,2960.0
IDN,Indonesia,2012,3520.0
IDN,Indonesia,2013,3670.0
IDN,Indonesia,2014,3570.0
IDN,Indonesia,2015,3390.0
IDN,Indonesia,2016,3370.0
IDN,Indonesia,2017,3490.0
IDN,Indonesia,2018,3810.0
IDN,Indonesia,2019,4020.0
IDN,Indonesia,2020,3850.0
IDN,Indonesia,2021,4130.0
IDN,Indonesia,2022,4520.0
IDN,Indonesia,2023,4810.0
,,2024,4810.0
,,2025,4810.0
,,2026,4810.0
,,2027,4810.0
,,2028,4810.0
,,2029,4810.0
,,2030,4810.0
,,2031,4810.0
,,2032,4810.0
,,2033,4810.0
,,2034,4810.0
,,2035,4810.0
KHM,Cambodia,2000,290.0
KHM,Cambodia,2001,310.0
KHM,Cambodia,2002,320.0
KHM,Cambodia,2003,370.0
KHM,Cambodia,2004,430.0
KHM,Cambodia,2005,510.0
KHM,Cambodia,2006,580.0
KHM,Cambodia,2007,670.0
KHM,Cambodia,2008,780.0
KHM,Cambodia,2009,840.0
KHM,Cambodia,2010,910.0
KHM,Cambodia,2011,990.0
KHM,Cambodia,2012,1110.0
KHM,Cambodia,2013,1230.0
KHM,Cambodia,2014,1330.0
KHM,Cambodia,2015,1430.0
KHM,Cambodia,2016,1550.0
KHM,Cambodia,2017,1690.0
KHM,Cambodia,2018,1920.0
KHM,Cambodia,2019,2100.0
KHM,Cambodia,2020,2050.0
KHM,Cambodia,2021,2120.0
KHM,Cambodia,2022,2270.0
KHM,Cambodia,2023,2390.0
,,2024,2390.0
,,2025,2390.0
,,2026,2390.0
,,2027,2390.0
,,2028,2390.0
,,2029,2390.0
,,2030,2390.0
,,2031,2390.0
,,2032,2390.0
,,2033,2390.0
,,2034,2390.0
,,2035,2390.0
LAO,Lao PDR,2000,280.0
LAO,Lao PDR,2001,300.0
LAO,Lao PDR,2002,310.0
LAO,Lao PDR,2003,330.0
LAO,Lao PDR,2004,380.0
LAO,Lao PDR,2005,450.0
LAO,Lao PDR,2006,500.0
LAO,Lao PDR,2007,600.0
LAO,Lao PDR,2008,740.0
LAO,Lao PDR,2009,880.0
LAO,Lao PDR,2010,990.0
LAO,Lao PDR,2011,1130.0
LAO,Lao PDR,2012,1350.0
LAO,Lao PDR,2013,1590.0
LAO,Lao PDR,2014,1810.0
