country_code,country_name,year,Rural population (% of total)
BRN,Brunei Darussalam,2000,28.836
BRN,Brunei Darussalam,2001,28.348
BRN,Brunei Darussalam,2002,27.954
BRN,Brunei Darussalam,2003,27.579
BRN,Brunei Darussalam,2004,27.206
BRN,Brunei Darussalam,2005,26.837
BRN,Brunei Darussalam,2006,26.471
BRN,Brunei Darussalam,2007,26.108
BRN,Brunei Darussalam,2008,25.748
BRN,Brunei Darussalam,2009,25.392
BRN,Brunei Darussalam,2010,25.039
BRN,Brunei Darussalam,2011,24.69
BRN,Brunei Darussalam,2012,24.344
BRN,Brunei Darussalam,2013,24.003
BRN,Brunei Darussalam,2014,23.668
BRN,Brunei Darussalam,2015,23.337
BRN,Brunei Darussalam,2016,23.01
BRN,Brunei Darussalam,2017,22.688
BRN,Brunei Darussalam,2018,22.371
BRN,Brunei Darussalam,2019,22.058
BRN,Brunei Darussalam,2020,21.75
BRN,Brunei Darussalam,2021,21.446
BRN,Brunei Darussalam,2022,21.146
BRN,Brunei Darussalam,2023,20.851
,,2024,20.851
,,2025,20.851
,,2026,20.851
,,2027,20.851
,,2028,20.851
,,2029,20.851
,,2030,20.851
,,2031,20.851
,,2032,20.851
,,2033,20.851
,,2034,20.851
,,2035,20.851
IDN,Indonesia,2000,57.998
IDN,Indonesia,2001,57.217
IDN,Indonesia,2002,56.432
IDN,Indonesia,2003,55.644
IDN,Indonesia,2004,54.851
IDN,Indonesia,2005,54.058
IDN,Indonesia,2006,53.262
IDN,Indonesia,2007,52.465
IDN,Indonesia,2008,51.665
IDN,Indonesia,2009,50.866
IDN,Indonesia,2010,50.086
IDN,Indonesia,2011,49.405
IDN,Indonesia,2012,48.724
IDN,Indonesia,2013,48.045
IDN,Indonesia,2014,47.365
IDN,Indonesia,2015,46.687
IDN,Indonesia,2016,46.011
IDN,Indonesia,2017,45.341
IDN,Indonesia,2018,44.675
IDN,Indonesia,2019,44.015
IDN,Indonesia,2020,43.359
IDN,Indonesia,2021,42.71
IDN,Indonesia,2022,42.066
IDN,Indonesia,2023,41.428
,,2024,41.428
,,2025,41.428
,,2026,41.428
,,2027,41.428
,,2028,41.428
,,2029,41.428
,,2030,41.428
,,2031,41.428
,,2032,41.428
,,2033,41.428
,,2034,41.428
,,2035,41.428
KHM,Cambodia,2000,81.414
KHM,Cambodia,2001,81.297
KHM,Cambodia,2002,81.18
KHM,Cambodia,2003,81.063
KHM,Cambodia,2004,80.945
KHM,Cambodia,2005,80.826
KHM,Cambodia,2006,80.707
KHM,Cambodia,2007,80.587
KHM,Cambodia,2008,80.429
KHM,Cambodia,2009,80.07
KHM,Cambodia,2010,79.706
KHM,Cambodia,2011,79.337
KHM,Cambodia,2012,78.963
KHM,Cambodia,2013,78.585
KHM,Cambodia,2014,78.201
KHM,Cambodia,2015,77.812
KHM,Cambodia,2016,77.418
KHM,Cambodia,2017,77.02
KHM,Cambodia,2018,76.612
KHM,Cambodia,2019,76.195
KHM,Cambodia,2020,75.768
KHM,Cambodia,2021,75.332
KHM,Cambodia,2022,74.886
KHM,Cambodia,2023,74.43
,,2024,74.43
,,2025,74.43
,,2026,74.43
,,2027,74.43
,,2028,74.43
,,2029,74.43
,,2030,74.43
,,2031,74.43
,,2032,74.43
,,2033,74.43
,,2034,74.43
,,2035,74.43
LAO,Lao PDR,2000,78.023
LAO,Lao PDR,2001,77.007
LAO,Lao PDR,2002,75.956
LAO,Lao PDR,2003,74.874
LAO,Lao PDR,2004,73.758
LAO,Lao PDR,2005,72.814
LAO,Lao PDR,2006,72.252
LAO,Lao PDR,2007,71.684
LAO,Lao PDR,2008,71.107
LAO,Lao PDR,2009,70.525
LAO,Lao PDR,2010,69.936
LAO,Lao PDR,2011,69.34
LAO,Lao PDR,2012,68.736
LAO,Lao PDR,2013,68.128
LAO,Lao PDR,2014,67.513
LAO,Lao PDR,2015,66.892
LAO,Lao PDR,2016,66.264
LAO,Lao PDR,2017,65.632
LAO,Lao PDR,2018,64.996
LAO,Lao PDR,2019,64.355
LAO,Lao PDR,2020,63.71
LAO,Lao PDR,2021,63.061
LAO,Lao PDR,2022,62.408
LAO,Lao PDR,2023,61.753
,,2024,61.753
,,2025,61.753
,,2026,61.753
,,2027,61.753
,,2028,61.753
,,2029,61.753
,,2030,61.753
,,2031,61.753
,,2032,61.753
,,2033,61.753
,,2034,61.753
,,2035,61.753
MMR,Myanmar,2000,72.975
