Year,GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),"Population, total",Urban population (% of total),Population growth (annual %),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Total greenhouse gas emissions (per capita),Demand (TWh),Country
2024-01-01,15422959856.91609,33520.87566885125,60.83098134081564,12.002857631436148,-0.8025474550935527,460292.27292578196,79.23755182147919,0.7595238788887421,10205.731088314482,10204.11548122459,100.0,99.99562542717673,100.0,127.41996391325844,7.2712264445634265,25.272273207814422,29.758007486187342,5.733034051733682,Brunei
2025-01-01,19146037077.579395,35403.04772909212,66.4705153585595,9.35362381394055,-1.4751066163337048,463678.1495968314,79.39789572639862,0.8430259340413009,9811.315541426193,10129.500801645563,100.0,99.99424868230412,100.0,142.0960331976911,7.538059634627295,20.397266525480585,26.600857226596176,5.181272470586137,Brunei
2026-01-01,18075972232.33593,35976.76365541124,63.688983527681444,10.468897225775857,-1.3255990485571916,466732.5190911419,79.56391756232638,0.8085416855572783,10530.875431822215,10320.995361687377,100.0,99.99583643042233,100.0,129.64416326787313,7.496913663186795,24.67934981600377,31.545493224304295,5.467413352464691,Brunei
2027-01-01,12856190523.251244,36458.92218948573,53.738464747764716,7.842948632661141,2.3514398657284525,470555.50393920764,79.75567350415426,0.8736500677595401,7814.435007105079,10499.062960321668,100.0,99.99463247112064,100.0,146.16994413179734,7.101579208378542,18.370034234798172,22.71663324847801,5.5643631362623465,Brunei
2028-01-01,18017813236.975433,31918.203695909757,62.532224325497126,11.119450370999244,-0.44835657910006566,473456.53744358546,79.86202047345269,0.8796216792190451,10716.367443945042,10391.79248459573,100.0,99.99399601044556,100.0,136.42360199410135,7.4215731068604835,24.447564213764636,29.292477668324672,5.924277089788311,Brunei
2029-01-01,18110769379.78033,35341.999358744615,61.808082956245414,7.909675742330494,1.3535557998080407,478227.230307794,80.12459171302902,0.8180008125464134,9762.216205383578,10258.007595169156,100.0,99.99286885265184,100.0,148.52225208083357,8.015178726690252,16.46587126163041,22.36055228076615,5.315397138026984,Brunei
2030-01-01,16307394221.550928,34486.90185562213,58.32405939794458,13.063340522221445,-1.316740326514966,480164.0417922878,80.2692045865241,0.5899966017852476,9805.938275241515,10669.311366618595,100.0,99.99416965106508,100.0,132.3537907894694,7.683229834813854,25.673414879638948,30.262212709722732,6.316367632769489,Brunei
2031-01-01,16586737762.479008,37244.46209445573,58.07823669563406,8.116013384460139,2.774311821146261,483999.05953458534,80.51341064400314,0.6378520355257963,7247.021563132747,10848.33015779662,100.0,99.99192620779098,100.0,155.94295930373264,7.945542341169034,15.67966697179029,19.464742235149178,5.9507641173362265,Brunei
2032-01-01,19541310724.072178,32214.076970560374,65.00890479719764,15.231708568093753,-1.1036404247894436,485125.59405150864,80.59978948851317,0.513788526404466,11898.74327292629,10887.224811282238,100.0,99.99441067954534,100.0,116.72467529536631,7.921151576402864,28.342676832025063,33.293005054319615,6.3889281883902385,Brunei
2033-01-01,13466951162.45164,37410.786687937325,52.188370401002494,7.167214321594761,-1.0976857775426594,489394.19492551265,80.88446398713378,0.5736194805181538,7505.719398862627,10770.39330540287,100.0,99.99239779375635,100.0,161.71129232646658,8.261122117585153,12.081508389949555,16.834692247687222,5.545402189738753,Brunei
2034-01-01,15524321174.653887,28264.823423381105,56.34453669624086,17.695899748851154,-3.649629351650048,489096.8685214722,80.88295787889824,0.4269341402364002,11532.680054670154,11030.380152626478,100.0,99.99523271504927,100.0,120.75195839444648,7.323779193336179,33.07572168920843,37.149537257482834,6.987053081466984,Brunei
2035-01-01,15072825449.94395,33629.15315822994,55.393444023490005,6.353341817455542,4.759969441406485,494417.6858085467,81.1959977804048,0.63597296512925,6867.262202984948,10754.344108845044,100.0,99.99160676194164,100.0,176.85578461236042,7.666020787907772,9.971292947317258,14.672908230110172,5.2025459043261275,Brunei
