Year,GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),"Population, total",Urban population (% of total),Population growth (annual %),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Total greenhouse gas emissions (per capita),Demand (TWh),Country
2024-01-01,420196897850.6874,4353.516734005367,27.771602092418064,15.376177559409566,1.073189468531257,116194229.14546631,48.555464699127114,0.9743955134592946,466.2135170802858,721.1737423747592,98.51447551499608,64.90804189684307,90.58696696717739,129.44692559476854,18.43781286694444,1.470410439646844,2.296039554824943,113.23972559280877,Philippines
2025-01-01,452750939574.6199,4665.963439642683,28.774899438805086,15.39503906320548,0.37918203584120325,117757385.14935955,48.90807518710476,1.0377997713308695,482.5232050396671,769.9914733947653,104.94542182896353,67.98272092031318,105.5519313525031,153.3578377356218,17.396889155357584,1.626877097815818,2.418133993065469,123.09689487040811,Philippines
2026-01-01,454855246578.7295,4573.539828487117,27.951230218864644,15.087258539524584,0.7500787717569806,119854193.05267528,49.45278116695278,0.8509430566854521,490.65102818027975,780.3313147036235,102.19469327608867,68.2211360521788,114.49421116406431,149.44019001585752,17.80120752024508,1.5873266356649256,2.3507095733753682,128.69249526226238,Philippines
2027-01-01,480257206501.8511,4496.355147466849,26.976398714366823,14.702030123525848,2.9013228320665476,121244508.79844235,50.00417929240981,0.5597269638131888,510.091334427591,784.6760787759324,102.3074746354374,67.68602656873139,116.06971358442246,130.57096918479746,19.60115551455207,1.6274142576926638,2.402994880024366,128.9493786597526,Philippines
2028-01-01,486403913391.7113,4776.469663390686,27.85585891584786,14.665228920889998,3.9653356575111705,122192391.80128452,50.48121840638977,0.1344590707113098,531.8185502271617,796.3878077737663,103.41822818550469,69.31772054287454,120.81502208209791,118.22556506085279,21.59289204974765,1.7579704924358197,2.552440213784273,132.9547192704451,Philippines
2029-01-01,530098615407.1773,5418.302691951165,29.204239497066762,14.785881492464306,3.530325060590451,123346157.97272457,50.85073438435141,-0.268955849254521,552.8370461775093,776.3882158672886,103.41608561526627,68.94126481298535,109.15530761538122,153.74691602436778,23.598137225652735,1.9570190999190573,2.7418508857201696,142.20165331536356,Philippines
2030-01-01,483099904147.2776,4948.785901209854,26.439616127782774,12.748837981531306,2.7048666996839827,124272216.70867622,51.09730262775268,-0.3941944759264635,530.9893037936223,752.1467796588887,102.00288708730024,67.32362846538547,106.57498663764167,133.21544829454092,23.270618231429367,1.909086021211682,2.7141601455264093,142.48027153156372,Philippines
2031-01-01,485145435683.9723,4566.4769771668125,26.527628341134445,12.790306992813063,3.4812452980585045,125014958.75452504,51.25095996638271,-0.3386449898940478,528.4013747916993,775.4208041550288,110.49372981551744,69.28651740873214,121.55669973202264,125.1122326152869,20.39703967896408,2.0498073315798653,2.8941543561216174,148.57842251659827,Philippines
2032-01-01,484653092302.0642,4696.086880497077,27.945225520671947,13.455362885617891,3.205030152748323,125378294.31205115,51.58444585948394,-0.4605057831510868,513.5060043610044,777.700203873075,112.06590450043745,69.55297329562681,141.34647670206897,136.48142190202623,19.155356616238024,2.1303120841540535,2.9707334081557875,160.09913314346133,Philippines
2033-01-01,553240755457.9431,5176.203043750151,28.101574522653557,13.064662868044321,3.0708592680848206,126603450.16104913,52.04539139222851,-0.49150283081339796,509.94339296632535,744.4227170997849,107.84917748011718,66.26610057418219,134.32585028975606,171.36888073656357,24.77693198657447,2.1470186962326094,2.962082601917393,167.66722220027447,Philippines
2034-01-01,530770754727.07635,4786.479760959268,24.880834685056925,10.841243023045228,2.398698911904807,127805075.74372056,52.44609956845189,-0.3660373246357502,502.42423251806383,750.5464136924218,105.91853278324272,66.2717653246164,139.81377622670206,135.12529190012685,26.920951608527457,1.9900916729923908,2.830413590963803,157.37188440427153,Philippines
2035-01-01,564448675414.3093,5015.727731410907,26.2307615272606,11.22414022715065,2.0342753437840195,128528858.05292033,52.74390090377212,-0.47459151559311485,536.429358429964,801.1516390804584,115.03000604284651,70.43139520519986,158.79479708106754,148.24665650805002,25.00541807082356,2.0939430124114393,2.9188102776055884,155.5110893388837,Philippines
