Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,10972.203775669092,10473.35564199917,11447.64108468235
2025-12-31,11200.014918984789,10745.64125730688,11683.697670206442
2026-12-31,11457.068449291106,10983.671793393269,11924.99632828654
2027-12-31,11743.090330751427,11282.183469770018,12222.110543351444
2028-12-31,11379.495052105456,10930.001411458103,11848.338406912664
2029-12-31,11607.306195422321,11147.449035304127,12078.052714404177
2030-12-31,11864.3597257279,11409.66403369287,12331.080741242928
2031-12-31,12150.381607191328,11677.533150279569,12643.869811874845
2032-12-31,11786.786328543247,11339.342274985233,12234.206903883181
2033-12-31,12014.597471857262,11544.304065515425,12462.145737643392
2034-12-31,12271.65100216639,11779.613872604654,12726.337084852303
