Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,10728.044212659912,9556.253394139721,11869.610923561057
2025-12-31,11037.20671666586,9907.502117733227,12180.076114633644
2026-12-31,11303.04605270712,10172.487219140794,12387.098941181539
2027-12-31,11525.459634290892,10427.273257848597,12624.318975943052
2028-12-31,11199.844275682326,10052.794647396731,12302.465583312307
2029-12-31,11509.006779689646,10332.344011503119,12662.635269339946
2030-12-31,11774.846115728245,10640.100328869814,12863.207463187528
2031-12-31,11997.25969731321,10830.532641052285,13118.526197259882
2032-12-31,11671.644338706532,10574.604456555351,12772.370824000744
2033-12-31,11980.806842710987,10849.623226512596,13060.723536612059
2034-12-31,12246.646178753692,11124.100796743192,13360.79099914287
