Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,38768.77767829624,31135.221739414526,47144.99321354258
2025-12-31,39409.36544250394,31576.208393052948,47434.59543165888
2026-12-31,40025.11774366889,32414.59805581909,47804.52089241095
2027-12-31,40615.94223546809,32005.218483183773,48849.86847224749
2028-12-31,40895.37463528371,32865.85454512877,48914.24365584605
2029-12-31,41535.96239949219,33261.83341839152,48888.36270252926
2030-12-31,42151.714700655975,34158.03100808475,50135.97903650116
2031-12-31,42742.539192455915,34712.69236788427,50656.655992492924
2032-12-31,43021.97159227234,35177.396248775156,51405.285863650235
2033-12-31,43662.559356478916,35804.71123988267,51700.69254279173
2034-12-31,44278.3116576448,36402.02022328427,51860.77253961867
