Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,469745.2985909425,469298.95832148363,470207.2729392716
2025-12-31,475936.3783313484,474582.50306573283,477411.16312189604
2026-12-31,482828.7992079521,480281.63601022516,485634.8770582991
2027-12-31,490444.5818608691,486498.9181169538,494966.62260178174
2028-12-31,486702.0404264169,481111.8853026206,492970.3028776349
2029-12-31,492893.1201668575,485595.157842983,501355.0991100449
2030-12-31,499785.54104319884,490585.80357655376,510175.9259309187
2031-12-31,507401.3236961866,496545.98305874673,520035.15854986897
2032-12-31,503658.7822617508,490458.33084856736,518821.883093801
2033-12-31,509849.8620024363,494116.8681357968,526883.8072591254
2034-12-31,516742.2828789925,498468.0269377266,536251.3099050155
