Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,379.02013297253325,324.723191922777,428.0242366551221
2025-12-31,397.9608088007267,348.6915643162141,444.040188849094
2026-12-31,417.7619308445081,369.17765030273534,468.19117228091784
2027-12-31,438.41469542231374,388.19581382927106,491.3172821094075
2028-12-31,435.24316450457195,380.98471812081794,487.7508047723365
2029-12-31,454.1838403328099,405.8989453320141,503.45154628028433
2030-12-31,473.98496237654865,426.3938228181538,525.12726996732
2031-12-31,494.63772695446363,442.5379411236548,544.1190345022975
2032-12-31,491.4661960366606,440.68813379240066,536.0211973881364
2033-12-31,510.40687186480073,459.368432431713,560.8445805251125
2034-12-31,530.2079939086784,480.2766196471282,583.173513807674
