Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,46146340550.80885,44866717214.14135,47302111696.06529
2025-12-31,47580590965.87169,46350174723.941795,48886668945.87253
2026-12-31,48738182083.38404,47461374963.13538,49967795955.83478
2027-12-31,49620878619.3018,48369242815.112175,50980255543.32645
2028-12-31,54869216385.12773,53515689377.17721,56199038362.5316
2029-12-31,56303466800.18312,54856836677.00804,57724334755.44868
2030-12-31,57461057917.70031,55850276201.488754,59081453050.80608
2031-12-31,58343754453.595535,56708146678.271416,60123392614.54458
2032-12-31,63592092219.43892,61874058216.45467,65545939588.886635
2033-12-31,65026342634.51064,62822488922.60542,67048256918.170425
2034-12-31,66183933752.00404,63889219089.39771,68548151448.45607
