Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,2629.5160003159294,2568.1728656050723,2690.5607271544636
2025-12-31,2727.4993000965405,2663.200102167135,2782.30984241066
2026-12-31,2817.920250062456,2751.984337361396,2884.486768058584
2027-12-31,2900.825034211298,2833.4209770215925,2963.1723657482266
2028-12-31,3095.7899104240546,3027.2647034910174,3160.648621989708
2029-12-31,3193.773210204478,3117.6434865649003,3266.6495362618266
2030-12-31,3284.1941601705016,3203.6401307036663,3365.739224669476
2031-12-31,3367.098944318757,3279.7703178062548,3446.49359208393
2032-12-31,3562.0638205319824,3470.0234615948093,3658.621944119639
2033-12-31,3660.0471203128236,3556.748748396584,3761.8093379996358
2034-12-31,3750.468070278245,3634.79030221097,3865.5711848540673
