Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,17800182.270334095,17756472.403962214,17839109.35366977
2025-12-31,18000154.054379016,17866156.773138784,18131015.739685304
2026-12-31,18200026.84408416,17931558.95493649,18457062.9911028
2027-12-31,18399720.32788802,17996772.694863584,18820184.742849234
2028-12-31,18700184.605721183,18127359.053373713,19301218.685541566
2029-12-31,18900156.389736377,18147706.52997584,19696290.283041965
2030-12-31,19100029.179224078,18080040.80509451,20112560.68559007
2031-12-31,19299722.66307062,18066566.2456284,20553355.870846935
2032-12-31,19600186.94091467,18135060.368073203,21090096.979940128
2033-12-31,19800158.72511528,18083764.688432973,21560325.584642753
2034-12-31,20000031.51471221,18050044.022702552,22035588.416977752
