Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,361.6497939538229,355.8928762438672,366.9747921577872
2025-12-31,366.1606162159891,360.5422842210325,371.86541857314893
2026-12-31,368.06528036210045,362.1297004246279,373.71705434511233
2027-12-31,367.3822611989914,361.6312884085647,372.67711536485444
2028-12-31,411.524740434801,405.24767342219883,417.8775124121031
2029-12-31,416.03556269688926,409.04821791188664,422.43701881982867
2030-12-31,417.9402268430503,410.54674684026344,424.860215946147
2031-12-31,417.257207679716,408.6305539296404,425.35700036268446
2032-12-31,461.3996869156921,452.03223168037766,469.99584590225044
2033-12-31,465.9105091779595,455.77617175810724,475.41478366337225
2034-12-31,467.8151733238757,456.4143941901406,478.2002371094867
