Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,1266.3411907693855,1204.596721178799,1330.9796212533404
2025-12-31,1333.3329424575584,1271.2983634513523,1395.9537335111872
2026-12-31,1409.4588280759315,1348.4665586696922,1474.2795994725786
2027-12-31,1494.6516600597586,1431.211475683998,1555.5181654327207
2028-12-31,1414.5169935488593,1352.2753610561813,1479.0795892401845
2029-12-31,1481.5087452373218,1422.5362730087422,1548.8348521369408
2030-12-31,1557.6346308554969,1495.7487221548006,1621.8245573572278
2031-12-31,1642.8274628401496,1582.8034287305534,1700.118814978159
2032-12-31,1562.6927963286525,1500.874768965739,1626.81188749874
2033-12-31,1629.6845480164557,1564.7571386562697,1688.3182139585094
2034-12-31,1705.810433635543,1640.105372537354,1769.8307764615656
