Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,1441345731672.06,1341995959416.4895,1536598283260.5193
2025-12-31,1473857764553.203,1385360089919.6445,1572290473365.1228
2026-12-31,1498243533362.1858,1398460692158.5854,1595772980979.5793
2027-12-31,1514556040549.4573,1412328711180.0574,1610571431571.251
2028-12-31,1656945395581.9148,1557006928054.4102,1749262498712.4563
2029-12-31,1689457428462.8452,1586964894306.0151,1782155355245.168
2030-12-31,1713843197271.9463,1617579624430.8708,1818616642451.4912
2031-12-31,1730155704458.5654,1623630749077.4646,1826954439313.0503
2032-12-31,1872545059491.537,1782646439910.557,1963285606617.6746
2033-12-31,1905057092372.958,1800093765738.487,1999614920646.1328
2034-12-31,1929442861181.3828,1829211880417.2563,2028062085619.3032
