Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,5194.071202067162,4811.443153328896,5556.365083151667
2025-12-31,5378.671268693605,4983.559903437504,5773.588538627509
2026-12-31,5560.74734699023,5203.069993530544,5948.628696755862
2027-12-31,5740.311060801036,5373.489755223413,6129.47632869363
2028-12-31,5944.678513273663,5561.676397529357,6316.220942771749
2029-12-31,6129.27857990007,5749.87756423104,6499.597901185021
2030-12-31,6311.354658196694,5952.458514018642,6693.139320926445
2031-12-31,6490.918372007356,6128.60714015788,6869.291896749949
2032-12-31,6695.285824480128,6289.870781711982,7072.089913444936
2033-12-31,6879.885891106622,6495.585725473019,7264.570911681076
2034-12-31,7061.961969403128,6678.606274127793,7408.252158105159
