Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,288997443.89876044,288737129.72822803,289263475.7871929
2025-12-31,296984646.91921884,296122111.1988006,297864047.5789542
2026-12-31,308948493.77712923,307313584.68534255,310658329.21002585
2027-12-31,325866193.10193497,323150011.87267363,328519336.0472625
2028-12-31,297997424.5574964,294035458.2990645,301759864.5489184
2029-12-31,305984627.5780232,300949312.36508805,310894340.3170351
2030-12-31,317948474.42904323,311793222.6107672,324240373.3945362
2031-12-31,334866173.75458574,327235266.8757389,342390416.0691295
2032-12-31,306997405.21175915,297704107.9261659,315925723.7580253
2033-12-31,314984608.2421154,303634872.9246104,325302558.4946387
2034-12-31,326948455.09811914,313517906.9136691,339052496.30825555
