Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,2963.2888717671094,2663.021206440357,3257.4421950781034
2025-12-31,3136.2850938449055,2853.2662189637554,3432.0703548702695
2026-12-31,3329.0438868584674,3030.9683763362673,3624.450478198156
2027-12-31,3541.432207440625,3270.9201407655864,3825.3058429670527
2028-12-31,3430.2287804919984,3154.762742055462,3707.2616446268808
2029-12-31,3603.2250025703515,3306.946990244053,3900.8687539147636
2030-12-31,3795.983795583562,3515.4880296867686,4080.8908364103772
2031-12-31,4008.372116167376,3725.7880367973157,4269.939474388132
2032-12-31,3897.1686892174857,3603.698427573577,4194.782773840043
2033-12-31,4070.164911294581,3784.51809684367,4353.836220514335
2034-12-31,4262.923704309558,3988.0828492658156,4529.442480142309
