Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,7886721.244531043,7883865.479239023,7889003.164561039
2025-12-31,7998319.612176074,7988847.097337313,8005369.865000837
2026-12-31,8109742.180105902,8091069.882183871,8124382.29525417
2027-12-31,8220259.629166529,8191232.570804027,8243826.098569602
2028-12-31,8315905.836212175,8273543.684645994,8349572.777872736
2029-12-31,8427504.20385684,8371375.250982984,8473404.378458126
2030-12-31,8538926.771793438,8470505.455998007,8598871.24402072
2031-12-31,8649444.220853828,8567068.441281816,8724994.62447884
2032-12-31,8745090.427897677,8646540.727163346,8835173.428726995
2033-12-31,8856688.795534497,8739873.621820923,8961600.391410712
2034-12-31,8968111.363467012,8833305.345041757,9086692.590122862
