Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,192.96102928780425,190.3001270658222,195.80348256580714
2025-12-31,194.8272732424029,192.15296832935877,197.31546146699466
2026-12-31,195.90408745016822,193.09127541195562,198.60526554086186
2027-12-31,196.1983613280869,193.42693719131023,198.9277781753678
2028-12-31,208.5467193083361,205.6525489753519,211.20582978931466
2029-12-31,210.4129632629153,207.33137759045349,213.25954866375113
2030-12-31,211.48977747067482,208.3121082914404,214.59108597403176
2031-12-31,211.784051348532,208.68568401065548,214.94658085357477
2032-12-31,224.1324093288349,220.95381526277143,227.3849678023469
2033-12-31,225.99865328348045,222.37361930748315,229.40057661846333
2034-12-31,227.0754674911858,223.23002852095166,230.94933528733677
