Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,5207.172239666982,4852.678249247496,5560.047577128019
2025-12-31,5330.312836566529,4987.002534185895,5674.754057679733
2026-12-31,5464.736009372262,5108.890437001099,5818.137912800569
2027-12-31,5610.371815048709,5261.918050531763,5945.919255775954
2028-12-31,5599.279469044974,5248.934111446294,5926.218869943067
2029-12-31,5722.4200659447815,5398.4832714796985,6087.959895937877
2030-12-31,5856.843238750422,5526.096862908941,6229.153503421485
2031-12-31,6002.479044427717,5676.206698065379,6369.1279590597605
2032-12-31,5991.3866984232445,5664.97869518151,6329.000385624848
2033-12-31,6114.527295322445,5771.242431857094,6469.57367510623
2034-12-31,6248.950468128893,5892.4064221851895,6617.009728167512
