Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,3044.988488618245,2948.8888026642608,3137.4746708962175
2025-12-31,3104.0246898522373,3007.591137829743,3204.641685739224
2026-12-31,3176.740907811216,3077.2717144811118,3287.2091635812635
2027-12-31,3263.0341235765436,3173.07697021068,3357.497330964482
2028-12-31,3122.9147921084736,3024.0139623916107,3224.403314580774
2029-12-31,3181.9509933428535,3088.549199436389,3280.951937046091
2030-12-31,3254.6672113016816,3153.3536619792862,3361.3140694021545
2031-12-31,3340.960427068166,3236.8989695351365,3444.8531702271653
2032-12-31,3200.841095599176,3095.8252750939496,3305.5243758439674
2033-12-31,3259.8772968325734,3148.282411790736,3367.268561321387
2034-12-31,3332.5935147925748,3217.7209521114946,3446.5377759184767
