Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,446019400985.3072,412529857159.96875,479181264999.16284
2025-12-31,453130628606.23535,419098749165.513,486735421672.6276
2026-12-31,457516229199.4651,426078056143.6924,487202055081.0952
2027-12-31,459194435027.2195,427000420663.65173,493719742066.39636
2028-12-31,503567486270.80066,469467752720.3545,538097915459.263
2029-12-31,510678713891.65625,477809525344.7499,546223198771.835
2030-12-31,515064314484.92456,481660014771.9778,546072393394.87134
2031-12-31,516742520312.4593,482959462116.52893,548292231034.7068
2032-12-31,561115571556.2136,530368169503.7298,595584265459.0746
2033-12-31,568226799177.2394,533951684873.05896,600264857850.2761
2034-12-31,572612399770.2797,537950238557.07227,603547369562.9344
