Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,13163.289143916132,12049.76891287431,14286.788473609002
2025-12-31,13465.574675522992,12368.143754219125,14529.782923482677
2026-12-31,13733.045672539869,12530.03629179671,14846.876236050444
2027-12-31,13965.899205412556,12816.251208165582,15127.476802751476
2028-12-31,14649.568181175211,13567.53633446727,15684.623252464371
2029-12-31,14951.853712781334,13904.508295553815,16149.552283510546
2030-12-31,15219.3247097985,14086.622069982415,16276.862701452848
2031-12-31,15452.178242668744,14405.864399110376,16568.379385046337
2032-12-31,16135.847218433508,14964.239434169956,17223.95286513297
2033-12-31,16438.132750041328,15272.623774384296,17555.660514055482
2034-12-31,16705.603747056146,15601.621798529726,17842.16035910691
