Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,36206542.400643796,36163836.527649075,36255970.83785517
2025-12-31,36838476.9005283,36704029.93701656,36987593.47992262
2026-12-31,37535886.353158444,37255053.62656747,37817934.00937765
2027-12-31,38300766.390149646,37878646.39211448,38741955.63744406
2028-12-31,37957058.319390774,37339622.614346065,38574065.51079937
2029-12-31,38588992.81927857,37771161.523034014,39419921.48877971
2030-12-31,39286402.2718845,38230775.611813605,40342471.94794069
2031-12-31,40051282.30888246,38744858.31808459,41319515.33749438
2032-12-31,39707574.238125026,38146007.77925786,41231502.329551764
2033-12-31,40339508.738035,38555466.541243374,42156171.19927716
2034-12-31,41036918.19066102,38936206.86420038,43150912.280719675
