Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,287.92350139380954,255.00911795470194,322.77088626929503
2025-12-31,299.29373530612787,264.13409879163834,334.16174566497057
2026-12-31,310.80690717020093,277.927777124094,345.33294802661436
2027-12-31,322.4598384243808,291.8260050138979,355.65738195565984
2028-12-31,324.6958090503459,291.77587296354426,360.096021613301
2029-12-31,336.066042962683,300.3343453421315,371.1196202763384
2030-12-31,347.579214826734,311.5356991453643,380.73281395863853
2031-12-31,359.23214608095316,324.3124740124041,393.5951075613053
2032-12-31,361.46811670690414,327.751724728357,393.22087666803424
2033-12-31,372.83835061920064,339.2694927094962,407.0677414581353
2034-12-31,384.3515224833094,351.1705038885833,420.0594500629402
