Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,439.71477465759097,402.15625764238604,478.0060975475939
2025-12-31,451.81264521774546,411.5971292123503,492.3719684190278
2026-12-31,464.7306485004301,425.91491168275405,506.73062978416255
2027-12-31,478.458515126516,437.6159151224832,519.1085749060247
2028-12-31,464.76396915825876,423.32222108652246,506.64766901664785
2029-12-31,476.8618397184657,439.6419410193768,519.9373749702595
2030-12-31,489.7798430011012,447.5036052680811,526.5823336520689
2031-12-31,503.5077096273101,462.99702337129077,543.890138399636
2032-12-31,489.8131636589881,449.3836189397581,528.629370652124
2033-12-31,501.9110342190771,461.79390870027424,542.6091015747307
2034-12-31,514.8290375018721,474.0922825962782,555.8224668014273
