Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,1709.9815486027514,1479.9465547600278,1917.8928671865447
2025-12-31,1788.4251966628954,1562.3354149941895,2033.2446332250179
2026-12-31,1870.39416046581,1646.1611263711673,2100.4337912765404
2027-12-31,1955.857953863168,1733.081755889706,2174.7105178312618
2028-12-31,1961.941431410482,1757.7887804467027,2189.019766779593
2029-12-31,2040.385079470771,1816.7590608737028,2246.6116902398176
2030-12-31,2122.3540432735635,1902.1671719043804,2326.321773676308
2031-12-31,2207.8178366712987,1982.2040882427416,2424.594826918198
2032-12-31,2213.901314218373,1980.1575495696413,2421.7915846184524
2033-12-31,2292.344962278342,2056.697002312269,2510.9698402546383
2034-12-31,2374.313926081587,2160.6159686830842,2600.751346995558
