Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,122.17871249826807,119.23144249125691,125.21125281437145
2025-12-31,125.65818089050376,122.60558294914176,128.60078650827202
2026-12-31,128.9746548593215,126.16529922281002,131.94450870697983
2027-12-31,132.1288694538777,129.21267047846544,135.2293799199701
2028-12-31,137.0655843922498,134.0367031789391,140.30807137736875
2029-12-31,140.54505278448275,137.4692835488914,143.55630874968398
2030-12-31,143.86152675330177,140.8833592484682,147.05350601160032
2031-12-31,147.0157413478479,143.67409801182532,150.57928447795436
2032-12-31,151.9524562862292,148.3136504654068,155.6157490515408
2033-12-31,155.4319246784678,151.49069207523584,159.1850477616036
2034-12-31,158.74839864727738,154.78242948941798,162.8489444502089
