Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,4498.181555122135,4230.280756157026,4766.835135954219
2025-12-31,4610.308470579781,4349.63741295811,4883.257915665732
2026-12-31,4709.891011211833,4443.812039284181,4981.654789454192
2027-12-31,4797.0119833234185,4530.603947966402,5052.01494849312
2028-12-31,5085.875012808139,4820.46476958871,5363.634981104526
2029-12-31,5198.001928265439,4956.4521727229185,5467.240810999464
2030-12-31,5297.584468897707,5022.535327671442,5537.539021118715
2031-12-31,5384.705441008262,5114.0043143948915,5647.697217251674
2032-12-31,5673.568470493772,5419.058661417501,5924.866640842133
2033-12-31,5785.695385951852,5532.388611607273,6043.1750287990035
2034-12-31,5885.277926583021,5610.513236165197,6160.377745102253
