Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,163.73945486454684,156.06159454223362,170.9839583167922
2025-12-31,167.77536481543302,160.37777272565668,175.97429872266824
2026-12-31,171.0984585763297,163.70826283568204,178.76092081582937
2027-12-31,173.71176335500232,166.36580232417404,181.64916715739693
2028-12-31,183.56873083985013,176.44918027294938,192.1231110800684
2029-12-31,187.60464079072514,179.89772293746825,195.0753371185051
2030-12-31,190.9277345516259,182.96644181391912,199.2416460199548
2031-12-31,193.54103933025567,185.38824645515277,200.0
2032-12-31,200.0,195.2057413878394,200.0
2033-12-31,200.0,199.03346557069082,200.0
2034-12-31,200.0,200.0,200.0
