Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,8782.766489780452,8584.040520664134,8962.742388272221
2025-12-31,8584.148734880511,8391.016732579226,8765.810845039037
2026-12-31,8312.024082337197,8119.391520787267,8521.247307035414
2027-12-31,7966.875122605453,7760.887564824208,8170.466968199818
2028-12-31,8783.786515562662,8575.338376672087,9008.244158398446
2029-12-31,8585.168760660727,8356.787950941558,8805.470352882094
2030-12-31,8313.0441081186,8083.147620968693,8552.907012525508
2031-12-31,7967.8951483809105,7704.213411062133,8209.049533228199
2032-12-31,8784.806541342708,8485.085788587621,9069.413226598985
2033-12-31,8586.188786445304,8271.972743233246,8925.023564982335
2034-12-31,8314.064133896874,7955.1267254937275,8681.257918222394
