Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,5432.282772876415,4732.930339761659,6119.910564779194
2025-12-31,5537.430815303937,4893.983831704714,6216.095745386633
2026-12-31,5630.58386339318,4996.27378153491,6340.182685886409
2027-12-31,5711.635195302408,5041.198502654728,6383.73980729519
2028-12-31,5397.270778948608,4726.073292531872,6078.917165959423
2029-12-31,5502.418821377014,4855.728884759854,6171.868278134635
2030-12-31,5595.571869464876,4898.650048176912,6256.523205310427
2031-12-31,5676.623201375377,4963.802623064237,6316.550614805155
2032-12-31,5362.258785021907,4683.312188922337,6042.644396122321
2033-12-31,5467.406827448418,4792.2141509421435,6174.761976660424
2034-12-31,5560.559875538944,4864.463467827255,6298.698810025732
