Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,72116.76701033254,67955.22732241542,76293.5887508606
2025-12-31,72917.84188728411,68398.9466860955,76782.6344665787
2026-12-31,73339.42920536679,69252.59141810426,77524.02130345262
2027-12-31,73384.37170372307,69552.02351571253,77647.27548015946
2028-12-31,80548.446913102,76455.11833369687,84799.334747176
2029-12-31,81349.52179004095,77162.9221202466,85830.69905615044
2030-12-31,81771.10910813286,77569.5997972389,85775.83455710557
2031-12-31,81816.05160645397,77659.5752599806,85899.93695497299
2032-12-31,88980.12681585754,84682.15201490017,93129.12297955227
2033-12-31,89781.20169282488,85982.57668925621,94082.16950309576
2034-12-31,90202.78901087714,85994.06948433233,94496.47501418673
