Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,5894579.802949885,5778140.69862318,6022154.090950907
2025-12-31,5944202.015105406,5816633.545847932,6074282.140789598
2026-12-31,5992544.069652104,5868589.033156944,6120538.51288909
2027-12-31,6039573.588870867,5907031.540116412,6163337.504306619
2028-12-31,6033167.014975024,5888601.896535146,6166892.874423566
2029-12-31,6082789.227130656,5929233.822161987,6231611.159388532
2030-12-31,6131131.281677345,5976317.673138182,6289608.107350033
2031-12-31,6178160.800896292,6008211.091173251,6366333.743285383
2032-12-31,6171754.2270004,5967255.714758757,6369181.846165308
2033-12-31,6221376.439155608,6002250.169296565,6436731.460783966
2034-12-31,6269718.493702546,6023859.272921128,6514911.581018468
