Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,601955167630.4976,568407576558.7478,636756397616.3505
2025-12-31,621288352116.157,585987383053.8031,652456664041.2455
2026-12-31,640148400133.7832,605549334287.0275,674250676550.08
2027-12-31,658535095223.0021,624188432029.9923,693198330742.2754
2028-12-31,674287616856.5239,639918121443.5809,709811001694.2269
2029-12-31,693620801342.1917,659111493495.8069,726297609906.774
2030-12-31,712480849359.7991,678724734542.6267,745469847236.9017
2031-12-31,730867544449.0184,698320403807.0437,768648285147.8248
2032-12-31,746620066082.5625,710461322220.363,777398027162.5237
2033-12-31,765953250568.2125,733533726555.1495,800683941738.9912
2034-12-31,784813298585.8428,748256678538.2625,818940440361.5131
