Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,8214.96682384083,7886.9659038694645,8525.552117745165
2025-12-31,8577.946641834838,8267.731743598062,8881.167599139173
2026-12-31,8972.140030408533,8665.941287256837,9297.408014376582
2027-12-31,9397.299006268253,9063.062436509405,9687.463970396893
2028-12-31,9184.290706636903,8846.192622021728,9494.076393961499
2029-12-31,9547.270524632062,9224.824753115869,9852.264255821245
2030-12-31,9941.463913204834,9624.208545609677,10256.047357912694
2031-12-31,10366.622889067663,10052.07015899558,10698.34178300725
2032-12-31,10153.614589434219,9823.501553112232,10466.639346040076
2033-12-31,10516.594407426852,10178.215921155881,10834.484899099987
2034-12-31,10910.787796003237,10594.771173842923,11225.839465952105
