Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,72063670.25985163,71995824.06347711,72126538.0329118
2025-12-31,72371168.96921356,72171727.53455254,72558448.48217678
2026-12-31,72786112.38497618,72408223.30033587,73176850.75702943
2027-12-31,73318981.63300705,72710650.12476355,73940464.57169104
2028-12-31,72315893.62598875,71463055.68933481,73186217.47835132
2029-12-31,72623392.33535945,71506624.24950773,73779587.75316279
2030-12-31,73038335.75101642,71617263.60202603,74473201.82872152
2031-12-31,73571204.99906039,71724867.49721496,75336755.0391472
2032-12-31,72568116.99206154,70368155.79654594,74669406.51049039
2033-12-31,72875615.70154661,70342143.6593052,75367170.1732013
2034-12-31,73290559.11727555,70355951.27917661,76198191.76894216
