Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,316.52627160341245,311.0613023281318,322.14468596932767
2025-12-31,330.3638234404903,324.39842023613795,336.1156158362097
2026-12-31,343.5099484346925,337.169784943064,349.5327988334757
2027-12-31,355.968432246461,349.4592727824428,362.686388580989
2028-12-31,377.28719088518704,369.9031137165346,384.9756448521668
2029-12-31,391.1247427222506,382.5642056648312,400.0643595815747
2030-12-31,404.2708677164588,393.9832488672418,414.37504341427325
2031-12-31,416.72935152817917,404.83851480146114,427.8461029195527
2032-12-31,438.0481101669472,424.8239721061569,451.26148430214096
2033-12-31,451.8856620040427,436.4280043186133,466.52827383332794
2034-12-31,465.0317869982046,447.4819442949364,482.0079724629147
