Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,453359017757.3304,443973251308.5982,463326050492.5117
2025-12-31,463616734756.57526,454239188642.7431,473067558390.5937
2026-12-31,469912142212.49634,459348480249.6957,480025834883.86346
2027-12-31,472273962703.5807,460749804416.2187,483710247923.5406
2028-12-31,539406149019.25433,526827407741.1805,551805238112.4498
2029-12-31,549663866018.38934,535560242993.8297,563702881736.3248
2030-12-31,555959273474.3596,539059496217.6657,570056762805.0879
2031-12-31,558321093965.1147,539968985675.4917,575411332800.4271
2032-12-31,625453280281.0459,604158528586.3842,645942631255.258
2033-12-31,635710997280.4535,611852400158.9517,658527567440.5924
2034-12-31,642006404736.0845,615713299472.6897,666839778324.3004
