Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,102132322.95035258,101998659.18960395,102258512.1984847
2025-12-31,103232711.21502484,102971616.68093611,103463826.511658
2026-12-31,104462741.76772115,104025581.08811669,104852399.34359954
2027-12-31,105832638.85100669,105147611.21942677,106524912.16864973
2028-12-31,105294838.64786261,104359832.55718082,106198571.2865484
2029-12-31,106395226.91254431,105083364.256472,107615429.2947064
2030-12-31,107625257.46513547,105950988.93140261,109196274.85082288
2031-12-31,108995154.54843599,107000760.96110265,110912564.63834575
2032-12-31,108457354.34530959,106031875.23566155,110778266.65760247
2033-12-31,109557742.6101031,106592172.77849069,112256401.39419332
2034-12-31,110787773.16276774,107258060.6735497,113924737.4722926
