Year,GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),"Population, total",Urban population (% of total),Population growth (annual %),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Total greenhouse gas emissions (per capita),Demand (TWh),Country
2024-01-01,553522539224.5321,7519.917417934585,34.98600928360881,26.891703579963885,5.862764850953114,71974277.0184111,54.31065306934291,-0.07575153046388594,1995.6102130516583,2603.073098124739,102.73796751839095,79.90779441476597,94.20159636891461,176.88509741115388,34.68439142966919,3.879919097576453,6.292074793538211,230.44086323159542,Thailand
2025-01-01,577098233053.2832,7816.513337025073,33.120595059924185,25.413745586894347,0.21884364452311234,72111857.67831136,54.68577603657207,-0.15158844497701163,1974.792728621621,2555.4071917279293,102.84975499987168,80.05892414604698,97.26113947878574,180.357930240994,30.701953719969,3.890445107698716,6.20099321940087,227.47212066619286,Thailand
2026-01-01,557291063255.1296,8000.076182943693,33.69307402433809,25.697927137808986,2.645508103614575,72104911.41984516,55.09777510046456,-0.1778474761025569,1985.3563038012433,2600.2221937773093,95.59093001229719,79.60091296502154,104.35029081544522,173.77360563141158,31.836821533116677,3.9489680162958085,6.295859481526355,232.09302394406637,Thailand
2027-01-01,539416028214.5217,7840.384771860039,33.298436196980404,25.285221177737395,2.78409266522228,72293783.91508326,55.55031634599818,-0.179104194395726,1986.8019238296506,2545.3746736562866,105.34107808413636,80.12142140350417,105.16016323507583,183.99026373973163,35.06415354900556,3.8757714580066147,6.189386309901953,229.75450092571327,Thailand
2028-01-01,530751769895.86475,7741.280307262199,34.28319178280364,26.3740266280661,2.8799353084789994,72408053.71517578,56.15220820069392,-0.20725564871585667,1992.2346088265408,2606.6495898014355,99.87527894908446,79.5426667139444,112.70441623098813,184.80147162979307,32.61562889192698,3.8075736152274673,6.286442674547061,236.30750471642597,Thailand
2029-01-01,592907154578.4401,8060.0832602745395,34.43916580200949,26.818466082942777,4.352576165862398,72463128.24190636,56.65075550195395,-0.3121145781344571,2024.1501837823923,2628.8083648325855,101.28466617232732,79.70801805946748,107.2862292614247,186.54170972940375,29.976493715788937,3.950860973138906,6.297229945275594,242.69540118753054,Thailand
2030-01-01,569309967526.1998,8196.853442884434,31.833944588732837,23.846981173753374,0.5715814960101231,72581756.89495271,56.92870533992747,-0.31511971351270496,1914.0544932198727,2520.5663649797634,102.36027734298182,79.62816974717049,113.42782580913644,196.18747211896627,32.93929932694267,3.7794357110702745,6.172546823692023,240.11487639254335,Thailand
2031-01-01,622444302263.8035,8483.052820313931,33.464240414306346,25.905200881833743,5.069133617019608,72747096.30606054,57.42603253843371,-0.3079752021482569,2115.7814607360483,2756.4560242696043,102.43935045026208,79.88404284482098,117.3278878888232,190.46422970869185,34.45289293056363,4.112894331494864,6.567771314340726,253.82722345380017,Thailand
2032-01-01,597125312210.9102,8409.681965261698,33.02007532577471,25.37110832930916,1.2500877515472768,72824511.19697997,57.62098168214786,-0.3572614373029952,1996.1931667885706,2569.573700141492,100.68589325106802,79.93571399171438,119.98801622598546,185.88943392552193,32.52756355974101,3.7152093503810573,6.158765495812584,233.45848141882766,Thailand
2033-01-01,603402716243.4742,8899.828078075818,33.60651195068331,25.56987690616375,3.907746046846734,72824124.31707203,57.97522912192439,-0.4132447364012233,2009.0132559666617,2669.5433403677084,102.06208454907113,79.24628476894613,122.5239341410358,194.0574671765297,31.07719456400357,4.002786058416461,6.327670529795383,252.5165550819077,Thailand
2034-01-01,567349299664.2775,8321.64064608952,32.015926064256924,24.330371524414755,1.9299186447258778,72816616.98702095,58.36605256014391,-0.42709791717827295,2049.5213474915167,2617.010369208275,100.98269586182086,80.12083901912202,124.71106784366589,192.27584284317157,35.60843694791782,3.951004577597929,6.430438098734819,246.19041371111217,Thailand
2035-01-01,602500062588.9391,8479.847253700833,33.86387773001401,26.17671728876919,3.7751300175221054,73081090.08696069,58.78085625284827,-0.3923307296474208,2038.5941270438188,2693.5848365408942,103.6888745182387,79.33691334650474,128.5090596160838,198.66560146813438,32.60589010101807,3.785721102953617,6.270815838823451,256.03667233660497,Thailand
