Year,Forecast (TWh),Lower 95%,Upper 95%
2000,98.81130964394197,94.29281046382405,103.17033419398851
2001,103.68555195776518,99.38665739355635,108.07976434545662
2002,112.48085794021407,108.18462918211777,117.00729046759187
2003,119.75816322211426,115.16367680817213,123.8589267962468
2004,125.48011045259909,120.90610540097536,129.56943780133128
2005,129.85923536144895,125.28524967703034,134.14760796873946
2006,138.24024110184172,134.18889251252273,142.68984096353202
2007,145.10577836886216,140.90029133722044,149.3472829320499
2008,150.3644191177971,146.20938293005545,154.60819348811935
2009,154.1772220996036,149.8490620383066,158.6540339326711
2010,162.3307920622152,158.0004044568932,166.4297466560521
2011,168.72063899914826,164.23197410134495,173.06289505539027
2012,173.67520409869113,169.41321491499218,178.1173827502209
2013,177.2786528499161,172.73918741999128,181.60008414551575
2014,184.52742764897448,179.65327813227876,189.13229594033191
2015,190.02266406167945,185.23865407663052,194.44157003122237
2016,194.1106974750471,189.44183424721524,198.500850141127
2017,196.9817929315096,192.56000208901656,201.3721216401672
2018,203.30894234944006,198.8852946656281,207.48584924112174
2019,207.64049934054782,203.28385480447452,212.39395846585876
2020,210.04660357369605,205.4074794304446,214.07853795314458
2021,211.19506125201573,206.96801540367326,215.65096543404377
2022,215.76248562529068,211.34358872084135,219.88454253934202
2023,218.7039205746168,214.61071705544643,223.08197921449698
2023,205.30248166762718,200.97332607196643,209.91339405680569
2024,225.21501152002372,220.8757839953793,229.59568113191247
2025,226.3440009520541,221.9137419066154,230.3549031565023
2026,226.06326964461056,221.40937595269298,230.15792844396057
2027,224.38184613462533,220.0620915036304,228.32109763626096
2028,244.33810916095484,240.01023319534076,248.48707790713357
2029,245.5111445963168,240.97389484656983,249.82649247001098
2030,245.27477688017615,240.91442488062182,249.5216052575703
2031,243.6380394198896,239.29917850286074,248.15562316660436
2032,263.6393159402623,259.1831267691215,268.0877591146809
2033,264.8576974174247,260.30850853153527,269.22449290101736
2034,264.667013515365,260.3072509311938,269.1445426069827
