Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,"Population, total_Prophet","Population, total_Lower_CI","Population, total_Upper_CI",Urban population (% of total)_Prophet,Urban population (% of total)_Lower_CI,Urban population (% of total)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,Individuals using the Internet (% of population)_Prophet,Individuals using the Internet (% of population)_Lower_CI,Individuals using the Internet (% of population)_Upper_CI,Mobile cellular subscriptions (per 100 people)_Prophet,Mobile cellular subscriptions (per 100 people)_Lower_CI,Mobile cellular subscriptions (per 100 people)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI
2000,Brunei,6570000000.0,Historical,19390.0,Historical,66.26658,Historical,2.45967,Historical,,Historical,326424.0,Historical,71.164,Historical,2.17185,Historical,7304.93469,Historical,7701.63959,Historical,100.0,Historical,,Historical,8.99628,Historical,28.44942,Historical,7.15237,Historical,18.60954,Historical,26.11695,Historical,2.54,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Brunei,6100000000.0,Historical,19270.0,Historical,62.74759,Historical,2.29641,Historical,0.99562,Historical,333345.0,Historical,71.652,Historical,2.09808,Historical,6623.00919,Historical,7325.7436,Historical,100.0,Historical,,Historical,12.9178,Historical,41.96767,Historical,7.1442,Historical,17.58418,Historical,26.30968,Historical,2.58,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Brunei,6330000000.0,Historical,18960.0,Historical,63.08118,Historical,2.85753,Historical,3.62654,Historical,340099.0,Historical,72.046,Historical,2.00588,Historical,6343.40589,Historical,7518.39905,Historical,100.0,Historical,99.99991,Historical,15.3299,Historical,44.21967,Historical,7.1636,Historical,16.34201,Historical,23.34114,Historical,2.71,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Brunei,7170000000.0,Historical,19840.0,Historical,66.4845,Historical,2.49652,Historical,1.72748,Historical,346637.0,Historical,72.421,Historical,1.90414,Historical,7226.39245,Historical,8715.16889,Historical,100.0,Historical,100.0,Historical,19.595,Historical,50.09674,Historical,7.18895,Historical,18.61486,Historical,25.83135,Historical,3.2,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Brunei,8620000000.0,Historical,22190.0,Historical,70.19105,Historical,2.11414,Historical,1.31342,Historical,352911.0,Historical,72.794,Historical,1.79378,Historical,6507.90143,Historical,8755.74862,Historical,100.0,Historical,100.0,Historical,29.7156,Historical,56.1653,Historical,7.19862,Historical,17.76312,Historical,23.95108,Historical,3.26,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Brunei,10500000000.0,Historical,25670.0,Historical,73.15301,Historical,1.67225,Historical,1.65986,Historical,358916.0,Historical,73.163,Historical,1.68725,Historical,6179.46818,Historical,8609.25676,Historical,100.0,Historical,100.0,Historical,36.4664,Historical,63.50946,Historical,7.17099,Historical,16.7418,Historical,22.66519,Historical,3.26,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Brunei,12600000000.0,Historical,30720.0,Historical,74.92626,Historical,1.22692,Historical,0.69468,Historical,364663.0,Historical,73.529,Historical,1.58853,Historical,8642.28342,Historical,8561.32923,Historical,100.0,Historical,100.0,Historical,42.1863,Historical,80.8459,Historical,7.0445,Historical,23.62537,Historical,31.17371,Historical,3.3,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Brunei,13400000000.0,Historical,33470.0,Historical,73.39511,Historical,1.10446,Historical,1.91807,Historical,370873.0,Historical,73.892,Historical,1.6886,Historical,8701.72808,Historical,8709.18077,Historical,100.0,Historical,100.0,Historical,44.68,Historical,96.67061,Historical,6.82039,Historical,22.06739,Historical,29.26608,Historical,3.39,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Brunei,15900000000.0,Historical,36700.0,Historical,76.43208,Historical,0.90251,Historical,1.39507,Historical,377793.0,Historical,74.252,Historical,1.84867,Historical,9377.27803,Historical,8626.41711,Historical,100.0,Historical,,Historical,46.0,Historical,103.7156,Historical,6.57132,Historical,23.57799,Historical,34.29338,Historical,3.42,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Brunei,11900000000.0,Historical,35470.0,Historical,67.29548,Historical,1.22236,Historical,2.73306,Historical,384952.0,Historical,74.608,Historical,1.87722,Historical,7904.37769,Historical,8816.68364,Historical,100.0,Historical,99.99993,Historical,49.0,Historical,105.78282,Historical,6.36993,Historical,20.83584,Historical,28.74852,Historical,3.62,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
