Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,"Population, total_Prophet","Population, total_Lower_CI","Population, total_Upper_CI",Urban population (% of total)_Prophet,Urban population (% of total)_Lower_CI,Urban population (% of total)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,Individuals using the Internet (% of population)_Prophet,Individuals using the Internet (% of population)_Lower_CI,Individuals using the Internet (% of population)_Upper_CI,Mobile cellular subscriptions (per 100 people)_Prophet,Mobile cellular subscriptions (per 100 people)_Lower_CI,Mobile cellular subscriptions (per 100 people)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI
2000,Cambodia,3690000000.0,Historical,290.0,Historical,21.6456,Historical,15.82617,Historical,3.20258,Historical,12500000.0,Historical,18.586,Historical,1.59017,Historical,273.81448,Historical,31.93623,Historical,16.6,Historical,20.33629,Historical,0.04702,Historical,1.07722,Historical,29.79872,Historical,0.16056,Historical,1.82301,Historical,0.33,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Cambodia,4150000000.0,Historical,310.0,Historical,23.26463,Historical,17.25419,Historical,3.53338,Historical,12700000.0,Historical,18.703,Historical,1.56167,Historical,270.97668,Historical,35.78628,Historical,9.5,Historical,21.64186,Historical,0.07696,Historical,1.81111,Historical,29.90572,Historical,0.17279,Historical,1.85091,Historical,0.28,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Cambodia,4500000000.0,Historical,320.0,Historical,25.37931,Historical,18.91549,Historical,2.90935,Historical,12900000.0,Historical,18.82,Historical,1.54239,Historical,310.72525,Historical,49.47398,Historical,13.1,Historical,18.62145,Historical,0.22698,Historical,3.02505,Historical,30.01916,Historical,0.17483,Historical,1.83715,Historical,0.58,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Cambodia,5050000000.0,Historical,370.0,Historical,26.34287,Historical,19.8969,Historical,1.61652,Historical,13100000.0,Historical,18.937,Historical,1.51107,Historical,315.28803,Historical,50.72421,Historical,19.3,Historical,19.54713,Historical,0.26057,Historical,3.8974,Historical,30.09851,Historical,0.18524,Historical,1.96002,Historical,0.65,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Cambodia,5880000000.0,Historical,430.0,Historical,27.68027,Historical,21.21947,Historical,2.23372,Historical,13200000.0,Historical,19.055,Historical,1.47375,Historical,255.89519,Historical,54.96525,Historical,14.2,Historical,24.4328,Historical,0.30044,Historical,6.61859,Historical,30.10326,Historical,0.18265,Historical,1.90117,Historical,0.78,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Cambodia,7070000000.0,Historical,510.0,Historical,27.41925,Historical,20.77943,Historical,5.36604,Historical,13400000.0,Historical,19.174,Historical,1.45761,Historical,255.66317,Historical,65.92653,Historical,20.5,Historical,27.19979,Historical,0.31732,Historical,8.01716,Historical,29.99289,Historical,0.20096,Historical,2.03579,Historical,0.98,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Cambodia,8350000000.0,Historical,580.0,Historical,29.07002,Historical,22.09961,Historical,5.78657,Historical,13600000.0,Historical,19.293,Historical,1.47594,Historical,251.43661,Historical,79.77108,Historical,27.5,Historical,29.4288,Historical,0.46836,Historical,12.77399,Historical,29.61305,Historical,0.22049,Historical,2.11794,Historical,1.22,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Cambodia,10100000000.0,Historical,670.0,Historical,28.14004,Historical,21.27087,Historical,8.56335,Historical,13800000.0,Historical,19.413,Historical,1.47554,Historical,251.27379,Historical,99.40925,Historical,20.2,Historical,32.96813,Historical,0.49,Historical,18.836,Historical,28.86426,Historical,0.26705,Historical,2.16567,Historical,1.59,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Cambodia,12200000000.0,Historical,780.0,Historical,26.0496,Historical,19.69001,Historical,6.69591,Historical,14100000.0,Historical,19.571,Historical,1.51791,Historical,248.24209,Historical,113.2104,Historical,26.4,Historical,32.73456,Historical,0.51,Historical,30.38607,Historical,27.78835,Historical,0.29151,Historical,2.18618,Historical,1.76,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Cambodia,12500000000.0,Historical,840.0,Historical,25.56652,Historical,19.09216,Historical,7.42543,Historical,14300000.0,Historical,19.93,Historical,1.57666,Historical,355.86892,Historical,126.28872,Historical,25.6,Historical,27.94399,Historical,0.53,Historical,44.27886,Historical,26.42714,Historical,0.34136,Historical,2.25129,Historical,1.99,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
