Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,"Population, total_Prophet","Population, total_Lower_CI","Population, total_Upper_CI",Urban population (% of total)_Prophet,Urban population (% of total)_Lower_CI,Urban population (% of total)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,Individuals using the Internet (% of population)_Prophet,Individuals using the Internet (% of population)_Lower_CI,Individuals using the Internet (% of population)_Upper_CI,Mobile cellular subscriptions (per 100 people)_Prophet,Mobile cellular subscriptions (per 100 people)_Lower_CI,Mobile cellular subscriptions (per 100 people)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI
2000,Philippines,83700000000.0,Historical,1150.0,Historical,34.97528,Historical,25.27957,Historical,1.77722,Historical,79600000.0,Historical,46.135,Historical,2.37927,Historical,502.22729,Historical,489.10274,Historical,74.7,Historical,53.06861,Historical,1.98225,Historical,8.27925,Historical,31.51896,Historical,0.93244,Historical,1.73697,Historical,45.3,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Philippines,78900000000.0,Historical,1140.0,Historical,34.89762,Historical,25.31155,Historical,0.96299,Historical,81400000.0,Historical,46.05,Historical,2.20605,Historical,470.39886,Historical,507.81627,Historical,75.7,Historical,54.3049,Historical,2.52401,Historical,15.27033,Historical,31.29232,Historical,0.88048,Historical,1.68336,Historical,47.05,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Philippines,84300000000.0,Historical,1110.0,Historical,34.78344,Historical,25.13541,Historical,2.09828,Historical,83100000.0,Historical,45.965,Historical,2.02767,Historical,467.25781,Historical,511.58744,Historical,76.7,Historical,55.87292,Historical,4.33228,Historical,18.92464,Historical,31.0557,Historical,0.87784,Historical,1.68372,Historical,48.46,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Philippines,87000000000.0,Historical,1150.0,Historical,34.54056,Historical,24.83687,Historical,0.56526,Historical,84700000.0,Historical,45.88,Historical,1.98211,Historical,459.25775,Historical,544.42347,Historical,76.6,Historical,57.21562,Historical,4.85767,Historical,27.13864,Historical,30.77435,Historical,0.88227,Historical,1.6859,Historical,52.94,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Philippines,95000000000.0,Historical,1260.0,Historical,33.6187,Historical,24.012,Historical,0.62314,Historical,86400000.0,Historical,45.795,Historical,1.94327,Historical,448.97971,Historical,564.04051,Historical,87.6,Historical,56.38303,Historical,5.24363,Historical,38.92784,Historical,30.41349,Historical,0.87584,Historical,1.69106,Historical,55.94,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Philippines,107000000000.0,Historical,1350.0,Historical,33.81368,Historical,24.2699,Historical,1.54906,Historical,88000000.0,Historical,45.71,Historical,1.85941,Historical,441.43822,Historical,565.23838,Historical,79.8,Historical,57.81259,Historical,5.39764,Historical,40.31821,Historical,29.93836,Historical,0.89602,Historical,1.70516,Historical,56.57,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Philippines,128000000000.0,Historical,1470.0,Historical,33.46259,Historical,23.82919,Historical,2.12092,Historical,89500000.0,Historical,45.625,Historical,1.68208,Historical,430.89951,Historical,557.46358,Historical,80.2,Historical,56.18238,Historical,5.74059,Historical,48.76907,Historical,29.17823,Historical,0.79268,Historical,1.59451,Historical,56.78,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Philippines,156000000000.0,Historical,1680.0,Historical,33.00086,Historical,23.15091,Historical,1.87121,Historical,91100000.0,Historical,45.54,Historical,1.73463,Historical,424.33981,Historical,570.98979,Historical,82.0,Historical,57.27484,Historical,5.97,Historical,64.02851,Historical,28.03417,Historical,0.84479,Historical,1.66213,Historical,59.62,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Philippines,182000000000.0,Historical,1970.0,Historical,32.76529,Historical,23.26867,Historical,0.7378,Historical,92700000.0,Historical,45.455,Historical,1.76733,Historical,432.63699,Historical,573.26342,Historical,83.3,Historical,57.62975,Historical,6.22,Historical,74.64705,Historical,26.57919,Historical,0.83863,Historical,1.65846,Historical,60.82,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Philippines,176000000000.0,Historical,2130.0,Historical,31.52254,Historical,21.73861,Historical,1.17325,Historical,94400000.0,Historical,45.371,Historical,1.80155,Historical,404.58663,Historical,576.60044,Historical,84.3,Historical,56.26292,Historical,9.0,Historical,81.32235,Historical,24.88628,Historical,0.83302,Historical,1.65877,Historical,61.92,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
