Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,"Population, total_Prophet","Population, total_Lower_CI","Population, total_Upper_CI",Urban population (% of total)_Prophet,Urban population (% of total)_Lower_CI,Urban population (% of total)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,Individuals using the Internet (% of population)_Prophet,Individuals using the Internet (% of population)_Lower_CI,Individuals using the Internet (% of population)_Upper_CI,Mobile cellular subscriptions (per 100 people)_Prophet,Mobile cellular subscriptions (per 100 people)_Lower_CI,Mobile cellular subscriptions (per 100 people)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI
2000,Singapore,96100000000.0,Historical,23680.0,Historical,32.4585,Historical,25.86149,Historical,16.14889,Historical,4027887.0,Historical,100.0,Historical,1.73204,Historical,4634.72585,Historical,7575.43595,Historical,100.0,Historical,98.91781,Historical,36.0,Historical,67.77676,Historical,19.79997,Historical,11.30104,Historical,14.21214,Historical,31.67,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Singapore,89800000000.0,Historical,22130.0,Historical,30.37966,Historical,23.3947,Historical,18.93986,Historical,4138012.0,Historical,100.0,Historical,2.69736,Historical,5145.88575,Historical,7516.1696,Historical,100.0,Historical,98.16821,Historical,41.6704,Historical,72.58809,Historical,19.31426,Historical,11.09388,Historical,14.20192,Historical,33.06,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Singapore,92500000000.0,Historical,22000.0,Historical,30.74568,Historical,24.73764,Historical,6.65367,Historical,4175950.0,Historical,100.0,Historical,0.91264,Historical,5065.98451,Historical,7756.31892,Historical,100.0,Historical,98.15512,Historical,47.0,Historical,79.31921,Historical,18.58425,Historical,10.828,Historical,12.30965,Historical,34.66,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Singapore,97600000000.0,Historical,23440.0,Historical,30.2248,Historical,24.76541,Historical,17.46242,Historical,4114826.0,Historical,100.0,Historical,-1.47453,Historical,6216.73918,Historical,8113.58731,Historical,100.0,Historical,98.40425,Historical,53.8379,Historical,84.6344,Historical,17.73928,Historical,10.31456,Historical,12.10481,Historical,35.32,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Singapore,115000000000.0,Historical,26170.0,Historical,31.88589,Historical,27.11937,Historical,21.20272,Historical,4166664.0,Historical,100.0,Historical,1.25192,Historical,7370.65288,Historical,8314.32532,Historical,100.0,Historical,98.71374,Historical,62.0,Historical,93.45022,Historical,16.90869,Historical,10.68553,Historical,12.59298,Historical,36.82,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Singapore,128000000000.0,Historical,28830.0,Historical,31.40765,Historical,27.07676,Historical,15.11336,Historical,4265762.0,Historical,100.0,Historical,2.35051,Historical,5055.96632,Historical,8678.16817,Historical,100.0,Historical,98.17113,Historical,61.0,Historical,100.9198,Historical,16.22181,Historical,9.78289,Historical,11.79836,Historical,38.22,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Singapore,149000000000.0,Historical,32550.0,Historical,30.8943,Historical,26.57801,Historical,26.32715,Historical,4401365.0,Historical,100.0,Historical,3.12939,Historical,5264.39866,Historical,8720.02208,Historical,100.0,Historical,98.30136,Historical,59.0,Historical,106.73156,Historical,15.6032,Historical,9.53554,Historical,11.496,Historical,39.49,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Singapore,181000000000.0,Historical,36010.0,Historical,28.22577,Historical,23.82265,Historical,26.16199,Historical,4588599.0,Historical,100.0,Historical,4.166,Historical,4677.20431,Historical,8706.57907,Historical,100.0,Historical,98.1287,Historical,69.9,Historical,127.03785,Historical,14.95528,Historical,9.44914,Historical,11.15081,Historical,41.13,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Singapore,194000000000.0,Historical,37230.0,Historical,26.41534,Historical,20.58566,Historical,7.02329,Historical,4839396.0,Historical,100.0,Historical,5.32152,Historical,5094.13571,Historical,8401.0484,Historical,100.0,Historical,98.24675,Historical,69.0,Historical,132.58096,Historical,14.37415,Historical,8.86888,Historical,10.42512,Historical,41.67,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Singapore,194000000000.0,Historical,37320.0,Historical,27.01632,Historical,20.27338,Historical,12.07109,Historical,4987573.0,Historical,100.0,Historical,3.01595,Historical,4257.77628,Historical,8114.36745,Historical,100.0,Historical,97.93284,Historical,69.0,Historical,137.40185,Historical,13.95595,Historical,8.77429,Historical,10.31496,Historical,41.8,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
