Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,"Population, total_Prophet","Population, total_Lower_CI","Population, total_Upper_CI",Urban population (% of total)_Prophet,Urban population (% of total)_Lower_CI,Urban population (% of total)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,Individuals using the Internet (% of population)_Prophet,Individuals using the Internet (% of population)_Lower_CI,Individuals using the Internet (% of population)_Upper_CI,Mobile cellular subscriptions (per 100 people)_Prophet,Mobile cellular subscriptions (per 100 people)_Lower_CI,Mobile cellular subscriptions (per 100 people)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI
2000,Vietnam,31200000000.0,Historical,390.0,Historical,36.73078,Historical,,Historical,4.16392,Historical,77200000.0,Historical,24.374,Historical,1.12951,Historical,372.45049,Historical,296.86078,Historical,88.2,Historical,46.27349,Historical,0.25425,Historical,0.99816,Historical,27.23326,Historical,0.73253,Historical,2.12955,Historical,26.56,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Vietnam,32700000000.0,Historical,410.0,Historical,38.12942,Historical,,Historical,3.97734,Historical,78000000.0,Historical,24.937,Historical,1.05124,Historical,393.04592,Historical,338.14565,Historical,88.9,Historical,47.91381,Historical,1.26565,Historical,1.56756,Historical,27.27245,Historical,0.79609,Historical,2.16968,Historical,30.61,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Vietnam,35100000000.0,Historical,430.0,Historical,38.48668,Historical,,Historical,3.99269,Historical,78800000.0,Historical,25.511,Historical,1.02445,Historical,424.53256,Historical,390.79765,Historical,89.1,Historical,52.27152,Historical,1.855,Historical,2.35904,Historical,27.37292,Historical,0.92743,Historical,2.32943,Historical,35.8,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Vietnam,39600000000.0,Historical,480.0,Historical,39.47001,Historical,,Historical,3.66601,Historical,79600000.0,Historical,26.092,Historical,0.99985,Historical,441.29029,Historical,448.10593,Historical,90.3,Historical,53.51507,Historical,3.78028,Historical,3.36542,Historical,27.46691,Historical,0.97552,Historical,2.4133,Historical,40.93,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Vietnam,45400000000.0,Historical,550.0,Historical,40.20875,Historical,,Historical,3.54408,Historical,80300000.0,Historical,26.683,Historical,0.96959,Historical,485.04136,Historical,500.36737,Historical,91.0,Historical,58.26328,Historical,7.64241,Historical,6.02591,Historical,27.48669,Historical,1.1438,Historical,2.66718,Historical,46.2,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Vietnam,57600000000.0,Historical,650.0,Historical,38.13114,Historical,18.82328,Historical,3.3904,Historical,81100000.0,Historical,27.281,Historical,0.9284,Historical,508.72612,Historical,589.24644,Historical,96.1,Historical,60.53286,Historical,12.7399,Historical,11.53832,Historical,27.36451,Historical,1.2395,Historical,2.79307,Historical,52.46,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Vietnam,66400000000.0,Historical,740.0,Historical,38.58473,Historical,19.38073,Historical,3.616,Historical,82200000.0,Historical,27.888,Historical,1.32258,Historical,514.44902,Historical,664.44441,Historical,96.0,Historical,60.72421,Historical,17.2546,Historical,22.50396,Historical,27.00076,Historical,1.25492,Historical,2.8385,Historical,58.87,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Vietnam,77400000000.0,Historical,860.0,Historical,38.51162,Historical,19.38041,Historical,8.65472,Historical,83600000.0,Historical,28.504,Historical,1.7678,Historical,543.86053,Historical,743.63853,Historical,93.1,Historical,62.72988,Historical,20.7554,Historical,53.11803,Historical,26.3606,Historical,1.36624,Historical,2.95544,Historical,66.79,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Vietnam,99100000000.0,Historical,1000.0,Historical,37.0777,Historical,18.57966,Historical,9.66304,Historical,85200000.0,Historical,29.128,Historical,1.82746,Historical,570.99644,Historical,812.61356,Historical,93.8,Historical,64.56385,Historical,23.92,Historical,87.47047,Historical,25.47349,Historical,1.47618,Historical,3.03038,Historical,74.17,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Vietnam,106000000000.0,Historical,1120.0,Historical,37.38819,Historical,18.30104,Historical,7.16882,Historical,86500000.0,Historical,29.762,Historical,1.49649,Historical,613.73144,Historical,912.78029,Historical,96.1,Historical,66.79639,Historical,26.55,Historical,113.57616,Historical,24.36889,Historical,1.62807,Historical,3.21081,Historical,84.37,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
