Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,10752.650797279226,10318.026065023127,11174.56269653744
2025-12-31,10879.753131436117,10454.305912304399,11292.157227779486
2026-12-31,11006.461373163762,10598.287880995313,11424.424033333979
2027-12-31,11132.738295121217,10707.474215095253,11555.736087699159
2028-12-31,11142.233609945102,10702.396949215745,11569.46878193891
2029-12-31,11269.335944102235,10864.091424095925,11681.521269435958
2030-12-31,11396.04418582956,10952.348940853644,11827.397926316706
2031-12-31,11522.321107787458,11105.921934224249,11917.854943229067
2032-12-31,11531.816422611271,11107.332363072757,12012.490832635753
2033-12-31,11658.918756767871,11225.291745882967,12068.10618259167
2034-12-31,11785.626998495938,11375.239501492495,12205.850201710678
