Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,17362872234.72772,13601000766.904642,21057391607.54372
2025-12-31,17648844809.49139,13996166936.927046,21163064388.86283
2026-12-31,17883165811.45234,14275666662.606876,21573277916.708668
2027-12-31,18066047009.648407,14387180124.52343,21726884160.026268
2028-12-31,18671807763.843025,15161741608.240005,22742657038.951107
2029-12-31,18957780338.606113,15270664889.94633,22772786941.068497
2030-12-31,19192101340.56687,15542657696.044697,22918120287.84618
2031-12-31,19374982538.76027,15625494935.192793,23186477952.575874
2032-12-31,19980743292.957817,16113157535.739614,24022591305.139744
2033-12-31,20266715867.72229,16341174023.371601,24245698222.394993
2034-12-31,20501036869.68109,16565154669.602047,24321273056.96702
